,1,2,3
Population 0,1441277.0,5570.0,
Population 1,1020951.0,4901.0,
Population 2,772087.0,7391.0,
Population 3,949224.0,2813.0,
Population 4,1470896.0,4165.0,
Population 5,1300711.0,3342.0,
Population 6,1501425.0,5015.0,
Population 7,1876229.0,13624.0,
Population 8,864391.0,1204.0,
Population 9,994550.0,5358.0,
Population 10,905484.0,921.0,
Population 11,1022956.0,4031.0,
Population 12,1344848.0,4779.0,
Population 13,973985.0,2318.0,
Population 14,837347.0,1551.0,
Population 15,687015.0,2014.0,
Population 16,1729916.0,5420.0,
Population 17,1420433.0,2404.0,
Population 18,1069504.0,4294.0,
Population 19,928756.0,6482.0,
Population 20,2331727.0,10362.0,
Population 21,1366348.0,4443.0,
Population 22,1071151.0,2438.0,
Population 23,880483.0,2609.0,
Population 24,773812.0,874.0,
Population 25,1112201.0,4280.0,
Population 26,1354456.0,2495.0,
Population 27,1763056.0,5199.0,
Population 28,1203478.0,605.0,
Population 29,787090.0,2283.0,
Population 30,1040232.0,3737.0,
Population 31,1324913.0,4540.0,
Population 32,1112335.0,3518.0,
Population 33,902292.0,2912.0,
Population 34,1163094.0,2612.0,
Population 35,2306696.0,8876.0,
Population 36,1048078.0,2565.0,
Population 37,1033864.0,2428.0,
Population 38,1055689.0,6565.0,292.0
Population 39,1035777.0,1467.0,
Population 40,4101145.0,20160.0,485.0
Population 41,1558842.0,3232.0,
Population 42,1470964.0,5944.0,
Population 43,921520.0,1804.0,
Population 44,3024053.0,15650.0,
Population 45,1294854.0,4786.0,
Population 46,1360237.0,6201.0,
Population 47,1123028.0,6957.0,
Population 48,1448822.0,3458.0,
Population 49,1210473.0,7702.0,
Population 50,2824643.0,6381.0,
Population 51,1022899.0,4349.0,
Population 52,882693.0,1238.0,
Population 53,868727.0,1904.0,
Population 54,1763905.0,2007.0,
Population 55,1612132.0,11123.0,
Population 56,1051628.0,3626.0,
Population 57,955694.0,805.0,
Population 58,1771194.0,9433.0,
Population 59,800206.0,1701.0,
Population 60,733458.0,1115.0,
Population 61,896099.0,2514.0,
Population 62,1038404.0,8866.0,
Population 63,1094879.0,3101.0,
Population 64,1095044.0,7131.0,
Population 65,778721.0,3399.0,
Population 66,1719003.0,5157.0,187.0
Population 67,1099263.0,4956.0,
Population 68,1151517.0,3055.0,
Population 69,1298698.0,1693.0,
Population 70,3064696.0,9938.0,
Population 71,1062778.0,1734.0,
Population 72,956111.0,75427.0,
Population 73,703761.0,1229.0,
Population 74,1475843.0,1435.0,
Population 75,2532675.0,11360.0,
Population 76,662137.0,1237.0,191.0
Population 77,908954.0,2642.0,
Population 78,1237056.0,4408.0,
Population 79,1144183.0,2102.0,
Population 80,1777046.0,6717.0,
Population 81,1121802.0,1075.0,
Population 82,1021011.0,4531.0,
Population 83,13531998.0,50807.0,
Population 84,986982.0,3220.0,
Population 85,841600.0,6723.0,
Population 86,1333662.0,4370.0,
Population 87,918815.0,1856.0,
Population 88,960956.0,1315.0,
Population 89,1070480.0,4619.0,
Population 90,793537.0,1121.0,
Population 91,1329280.0,5831.0,
Population 92,1097086.0,3340.0,
Population 93,1184473.0,2098.0,
Population 94,970000.0,1455.0,
Population 95,2162569.0,27593.0,
Population 96,970319.0,3156.0,
Population 97,1723333.0,3620.0,
Population 98,1021691.0,3005.0,
Population 99,1186575.0,5625.0,
Population 100,1306793.0,2740.0,
Population 101,6957855.0,36608.0,
Population 102,1355930.0,7790.0,
Population 103,1813028.0,11714.0,
Population 104,853190.0,1421.0,
Population 105,1818427.0,3763.0,
Population 106,3429548.0,19295.0,105.0
Population 107,1426608.0,3109.0,
Population 108,2582714.0,5360.0,
Population 109,2450439.0,12643.0,
Population 110,1295281.0,2107.0,
Population 111,6880527.0,46043.0,395.0
Population 112,1019234.0,8755.0,
Population 113,1110266.0,8652.0,
Population 114,945400.0,6543.0,
Population 115,1105129.0,6613.0,
Population 116,828338.0,1294.0,
Population 117,900934.0,1775.0,
Population 118,830015.0,13656.0,110.0
Population 119,789594.0,1008.0,
Population 120,1151040.0,2598.0,
Population 121,1068196.0,4147.0,
Population 122,2002378.0,14889.0,359.0
Population 123,1727338.0,1964.0,
Population 124,1306768.0,1782.0,
Population 125,1983810.0,8308.0,
Population 126,2176828.0,7081.0,
Population 127,3173499.0,68404.0,192.0
Population 128,989212.0,13894.0,
Population 129,1269738.0,3202.0,
Population 130,981441.0,2436.0,
Population 131,8725392.0,34353.0,463.0
Population 132,1539815.0,5274.0,
Population 133,74500888.0,1201210.0,7746.0
Population 134,1178676.0,8336.0,
Population 135,1402414.0,7556.0,
Population 136,2405438.0,4766.0,
Population 137,804873.0,2566.0,
Population 138,1220598.0,4789.0,
Population 139,1610289.0,6237.0,
Population 140,3034313.0,13017.0,217.0
Population 141,1899652.0,6706.0,
Population 142,1038977.0,6588.0,
Population 143,1240360.0,1526.0,
Population 144,1398698.0,7637.0,
Population 145,1263147.0,3529.0,
Population 146,756932.0,2569.0,
Population 147,1457855.0,4437.0,
Population 148,1023910.0,4948.0,
Population 149,1825824.0,6933.0,
Population 150,1144663.0,3269.0,
Population 151,1573167.0,4935.0,
Population 152,1251355.0,13315.0,430.0
