,1,2,3,4,5
Population 0,102686773.0,12551127.0,78811.0,552.0,
Population 1,77073083.0,13614364.0,74902.0,110.0,
Population 2,107759722.0,7691771.0,80390.0,130862.0,2612.0
Population 3,72379758.0,2585539.0,40932.0,,
Population 4,5630595.0,99489549.0,3752517.0,998544.0,1240.0
Population 5,86871773.0,811806.0,1738.0,,
Population 6,65809649.0,11088260.0,25801.0,,
Population 7,112373007.0,3200558.0,18753.0,,
Population 8,99492768.0,1775819.0,5333.0,,
Population 9,112105933.0,3343249.0,10561.0,,
Population 10,99978478.0,1322914.0,3443.0,,
Population 11,108072185.0,7645308.0,27042.0,,
Population 12,41778473.0,65404129.0,1382386.0,3892.0,
Population 13,104541812.0,10074165.0,65574.0,,
Population 14,81513166.0,2436192.0,9222.0,,
Population 15,105880322.0,5608771.0,13701.0,290.0,
Population 16,74188075.0,1096297.0,5298.0,,
Population 17,37865580.0,632022.0,2259.0,,
Population 18,101234107.0,8761209.0,43093.0,,
Population 19,84825421.0,5295992.0,42968.0,,
Population 20,50802171.0,871102.0,1276.0,,
Population 21,92729076.0,10030348.0,49910.0,,
Population 22,51628302.0,63800447.0,383452.0,296.0,
Population 23,7465497.0,101515185.0,2795555.0,17356.0,
Population 24,98236745.0,13498596.0,87780.0,100.0,
Population 25,102425494.0,4447155.0,32367.0,,
Population 26,90914659.0,10275575.0,25178.0,,
Population 27,22887899.0,88879135.0,1463708.0,2659.0,
Population 28,88312320.0,1220993.0,5084.0,,
Population 29,91375751.0,4887232.0,34785.0,,
Population 30,107742862.0,1230696.0,4030.0,,
Population 31,112489455.0,2854275.0,10888.0,,
Population 32,89784877.0,3172205.0,31248.0,,
Population 33,99162730.0,5086815.0,12827.0,,
Population 34,72703985.0,2555624.0,6042.0,,
Population 35,104552403.0,10825598.0,107176.0,315.0,
Population 36,94767494.0,4551197.0,29122.0,127.0,
Population 37,62135498.0,747995.0,851.0,,
Population 38,112210642.0,1889899.0,4644.0,,
Population 39,105511122.0,5774118.0,284560.0,298.0,
Population 40,78936962.0,5802003.0,39431.0,,
Population 41,77211186.0,4463173.0,21186.0,937.0,
Population 42,108043152.0,2503040.0,26362.0,,
Population 43,65915952.0,874399.0,2040.0,,
Population 44,112696440.0,1882127.0,6389.0,,
Population 45,106678971.0,2293406.0,9828.0,,
Population 46,108412554.0,6341773.0,61960.0,126.0,
Population 47,104233995.0,10417915.0,44083.0,,
Population 48,108128142.0,3064758.0,14617.0,,
Population 49,88558908.0,3614760.0,55195.0,,
Population 50,96770305.0,18299273.0,128742.0,215.0,
Population 51,104720270.0,10457127.0,94312.0,237.0,
Population 52,84550367.0,530114.0,590.0,,
Population 53,108927048.0,6366778.0,31290.0,,
Population 54,80348979.0,2085546.0,28171.0,,
Population 55,89684096.0,6696139.0,34287.0,,
Population 56,54310787.0,3288606.0,10588.0,,
