,1,2,3,4,5,6
Population 0,81261375.0,34381502.0,188689.0,,,
Population 1,107459999.0,8128928.0,23381.0,,,
Population 2,77578220.0,36658529.0,1566503.0,57505.0,,
Population 3,105934055.0,9633366.0,176427.0,180.0,,
Population 4,98839297.0,14424086.0,2467490.0,26811.0,,
Population 5,109078995.0,5805268.0,30241.0,757.0,,
Population 6,50002046.0,64796235.0,645117.0,1046.0,,
Population 7,102058639.0,10565881.0,84960.0,,,
Population 8,12582844.0,95217635.0,8065325.0,34488.0,,
Population 9,110618889.0,4921661.0,207464.0,699.0,,
Population 10,108788556.0,6521895.0,36633.0,,,
Population 11,97711263.0,17794590.0,153098.0,,,
Population 12,57124045.0,57807906.0,954577.0,3140.0,,
Population 13,889508.0,113984797.0,988721.0,1324.0,,
Population 14,34260001.0,80286942.0,1343190.0,2836.0,,
Population 15,90412740.0,24780109.0,658498.0,1022.0,,
Population 16,62594858.0,52000956.0,1008914.0,1440.0,,
Population 17,59557867.0,55867113.0,289070.0,1746.0,,
Population 18,108471650.0,6868971.0,42727.0,,,
Population 19,97535923.0,17723208.0,414108.0,310.0,,
Population 20,75913569.0,37477936.0,976712.0,1509.0,,
Population 21,88577365.0,26945233.0,256611.0,406.0,,
Population 22,0.0,106236787.0,944287.0,550.0,,
Population 23,104888920.0,9640911.0,859983.0,6195.0,,
Population 24,90804209.0,23097249.0,1604354.0,4598.0,,
Population 25,65807019.0,48555827.0,1394823.0,2063.0,,
Population 26,86042740.0,29070873.0,653972.0,12691.0,,
Population 27,0.0,32763904.0,1080224.0,1339.0,,
Population 28,104762254.0,10653856.0,107939.0,380.0,,
Population 29,51172198.0,63585451.0,1087177.0,1627.0,,
Population 30,54093.0,82519638.0,33105022.0,188309.0,294.0,
Population 31,55665888.0,59430126.0,759987.0,31745.0,,
Population 32,51309921.0,11043918.0,47636957.0,5613066.0,69352.0,
Population 33,88182179.0,27430225.0,251527.0,998.0,,
Population 34,2731352.0,102571707.0,10530998.0,29555.0,,
Population 35,88337423.0,27032352.0,468315.0,1424.0,,
Population 36,101838303.0,13798238.0,55971.0,,,
Population 37,793673.0,108123651.0,6718114.0,226864.0,955.0,
Population 38,77523308.0,37404456.0,810255.0,16655.0,,
Population 39,46316231.0,69016154.0,549258.0,1935.0,,
Population 40,91464381.0,22254755.0,1587979.0,1395.0,,
Population 41,10844093.0,102558527.0,2501452.0,7542.0,,
Population 42,108105096.0,6425566.0,24707.0,,,
Population 43,66132119.0,49084006.0,380661.0,,,
Population 44,75744253.0,39800863.0,330241.0,408.0,,
Population 45,98365675.0,17040806.0,90319.0,194.0,,
Population 46,78977575.0,36462954.0,400347.0,114.0,,
Population 47,8858480.0,103165610.0,3640616.0,19502.0,,
Population 48,92847713.0,22174534.0,760283.0,7837.0,,
Population 49,105300793.0,9534774.0,54213.0,183.0,,
Population 50,107638338.0,7598628.0,98051.0,,,
Population 51,80099724.0,32566111.0,1788096.0,4116.0,,
Population 52,102282292.0,11490068.0,148536.0,,,
Population 53,49008983.0,56173148.0,10547440.0,19798.0,,
Population 54,23164911.0,91615089.0,970376.0,1275.0,,
Population 55,108691541.0,6854384.0,75790.0,,,
Population 56,0.0,109095915.0,4806597.0,27451.0,,
Population 57,50873251.0,63653708.0,1335204.0,11148.0,,
Population 58,27527413.0,86814025.0,1028024.0,1077.0,,
Population 59,111432489.0,3936996.0,468030.0,308.0,,
Population 60,13843264.0,99096162.0,2938897.0,10951.0,,
Population 61,20810853.0,93749794.0,1319528.0,11156.0,,
Population 62,96799774.0,16927598.0,79894.0,213.0,,
Population 63,73024977.0,42056298.0,666089.0,13187.0,,
Population 64,104425095.0,11073496.0,190913.0,2643.0,,
Population 65,101556805.0,14171887.0,68007.0,,,
Population 66,110104004.0,5525120.0,21941.0,,,
Population 67,90189083.0,24859279.0,813544.0,737.0,,
Population 68,106222593.0,8692138.0,43724.0,2037.0,,
Population 69,106970105.0,7483760.0,76046.0,,,
Population 70,87978674.0,26674799.0,684285.0,575.0,,
Population 71,105072789.0,10082875.0,54049.0,206.0,,
Population 72,95454443.0,20002080.0,351097.0,409.0,,
Population 73,44178305.0,69342136.0,2315602.0,3637.0,,
Population 74,105988100.0,8046685.0,55779.0,,,
Population 75,30817131.0,82498193.0,2573497.0,5943.0,,
Population 76,53920778.0,60631770.0,1189304.0,4872.0,,
Population 77,99437397.0,16333935.0,64106.0,,,
Population 78,110319306.0,5325190.0,18715.0,,,
Population 79,80117489.0,34914389.0,344885.0,546.0,,
Population 80,14279717.0,99380959.0,2234638.0,5014.0,,
Population 81,114692943.0,1023862.0,2016.0,,,
Population 82,0.0,92890245.0,6377705.0,122310.0,,
Population 83,15193942.0,87785798.0,12757082.0,175754.0,661.0,
Population 84,25567414.0,87766274.0,2370481.0,9004.0,,
Population 85,109483058.0,3900193.0,2260614.0,30340.0,381.0,
Population 86,418472.0,113446622.0,1872344.0,8124.0,,
Population 87,30114716.0,75481545.0,10058151.0,219029.0,858.0,
Population 88,107747191.0,8038948.0,56749.0,152.0,,
Population 89,44779306.0,70279821.0,821142.0,2123.0,,
Population 90,47247136.0,68229858.0,425632.0,845.0,,
Population 91,17570533.0,68754711.0,29280141.0,279208.0,,
Population 92,76644422.0,38674057.0,554054.0,2458.0,,
Population 93,48134903.0,65055304.0,1940060.0,6124.0,,
Population 94,105205061.0,10048904.0,75338.0,,,
Population 95,20886671.0,92449670.0,758814.0,621.0,,
Population 96,111032793.0,4753387.0,16215.0,,,
Population 97,83836583.0,31372696.0,453876.0,1362.0,,
Population 98,16907223.0,98348802.0,633682.0,335.0,,
Population 99,21452900.0,92833962.0,1507817.0,1538.0,,
Population 100,107996663.0,7815300.0,61274.0,,,
Population 101,3179891.0,21369269.0,91040104.0,326697.0,,
Population 102,37143749.0,76332250.0,2347218.0,15864.0,,
Population 103,108072802.0,7190961.0,65334.0,409.0,,
Population 104,95804680.0,19781309.0,276022.0,134.0,,
Population 105,96424691.0,19022277.0,168678.0,1398.0,,
Population 106,108015004.0,7429990.0,410875.0,773.0,,
Population 107,108509859.0,6685460.0,14291.0,,,
Population 108,99247578.0,16199752.0,116588.0,,,
Population 109,88151372.0,25995512.0,639215.0,4311.0,,
Population 110,109231197.0,6539331.0,77567.0,,,
Population 111,8024072.0,106249426.0,1587445.0,42303.0,,
Population 112,12904072.0,99088446.0,3713362.0,46381.0,,
Population 113,101112476.0,14305885.0,228785.0,,,
Population 114,110977859.0,3648007.0,51597.0,,,
Population 115,84872352.0,30539784.0,296041.0,233.0,,
Population 116,66822353.0,48251541.0,786460.0,641.0,,
Population 117,55000238.0,58433673.0,2412773.0,12553.0,,
Population 118,16505837.0,81346645.0,17365619.0,492507.0,2739.0,
Population 119,108369592.0,7302403.0,36235.0,163.0,,
Population 120,101173070.0,14258741.0,407797.0,2829.0,,
Population 121,52755956.0,62529394.0,556870.0,5108.0,,
Population 122,112417278.0,2565990.0,20328.0,142.0,,
Population 123,67621280.0,46791234.0,1413865.0,4612.0,,
Population 124,69559307.0,45949481.0,290671.0,167.0,,
Population 125,88807498.0,24512167.0,743920.0,1355.0,,
Population 126,1288714.0,28920370.0,85063170.0,628064.0,5815.0,
Population 127,106930389.0,8697570.0,44484.0,,,
Population 128,85354518.0,22969227.0,7282483.0,55773.0,,
Population 129,109789787.0,5920241.0,133644.0,164.0,,
Population 130,106205314.0,8807774.0,35901.0,,,
Population 131,11310016.0,103788071.0,751276.0,2361.0,,
Population 132,27273978.0,86991478.0,1204746.0,9080.0,,
Population 133,55130184.0,57625870.0,2479667.0,16566.0,,
Population 134,0.0,95245015.0,1374438.0,14620.0,,
Population 135,91629421.0,23764792.0,416122.0,956.0,,
Population 136,37658082.0,76543592.0,1668822.0,23039.0,,
Population 137,599976.0,110663066.0,4515724.0,78428.0,706.0,
Population 138,110845610.0,4944320.0,14875.0,140.0,,
Population 139,96562403.0,16919970.0,569157.0,1412.0,,
Population 140,91654105.0,23808628.0,163206.0,128.0,,
Population 141,108796127.0,6326147.0,32790.0,235.0,,
Population 142,102279062.0,13485476.0,56409.0,,,
Population 143,70162391.0,45164807.0,552767.0,549.0,,
Population 144,112843735.0,2933904.0,26773.0,107.0,,
Population 145,92063905.0,22920128.0,93714.0,,,
Population 146,106132999.0,8715231.0,75793.0,,,
Population 147,2019856.0,108608698.0,5215406.0,23924.0,,
Population 148,3819322.0,110820180.0,1064214.0,1069.0,,
Population 149,43429897.0,71099302.0,851945.0,4089.0,,
Population 150,27005.0,112651470.0,3062514.0,98820.0,1237.0,
Population 151,96761361.0,18805055.0,289923.0,968.0,,
Population 152,99708481.0,15146675.0,426376.0,148.0,,
Population 153,111797001.0,4034492.0,17650.0,,,
Population 154,35888651.0,77210151.0,2602283.0,4520.0,,
Population 155,12778535.0,99579517.0,3509570.0,10525.0,,
Population 156,62852276.0,50611130.0,2389716.0,16108.0,,
Population 157,3161635.0,111116768.0,1522917.0,83613.0,472.0,
Population 158,101993911.0,13801040.0,43203.0,,,
Population 159,108593690.0,6221616.0,45000.0,,,
Population 160,110857953.0,4946909.0,43497.0,366.0,,
Population 161,109957840.0,5691738.0,39148.0,,,
Population 162,105119912.0,10546750.0,56053.0,,,
Population 163,0.0,70200083.0,6571460.0,25781.0,,
Population 164,44637707.0,69562371.0,1668851.0,19079.0,,
Population 165,71762257.0,43118561.0,627182.0,292.0,,
Population 166,16867192.0,87550425.0,11442451.0,28744.0,,
Population 167,6878798.0,103883742.0,5082470.0,42126.0,,
Population 168,17706479.0,87820323.0,10297156.0,32480.0,,
Population 169,109518644.0,5939079.0,40362.0,,,
Population 170,77610098.0,37711080.0,540875.0,945.0,,
Population 171,107545726.0,8106414.0,72880.0,6444.0,,
Population 172,51488861.0,61737423.0,1648093.0,5372.0,,
Population 173,7984485.0,106936015.0,968319.0,2641.0,,
Population 174,64081518.0,51081860.0,571065.0,1371.0,,
Population 175,110328965.0,5327613.0,37285.0,,,
Population 176,73660968.0,40945536.0,1191355.0,3128.0,,
Population 177,105319094.0,10240068.0,136281.0,,,
Population 178,104928237.0,10602089.0,200072.0,804.0,,
Population 179,48975500.0,60156335.0,6736755.0,26608.0,,
Population 180,32056038.0,83183992.0,623032.0,254.0,,
Population 181,105375214.0,9036662.0,46269.0,,,
Population 182,110478497.0,4909847.0,25862.0,,,
Population 183,37551701.0,77225183.0,1045245.0,1955.0,,
Population 184,111995974.0,3772031.0,52265.0,,,
Population 185,54977928.0,60233696.0,664982.0,1106.0,,
Population 186,7576746.0,107018886.0,1205513.0,1863.0,,
Population 187,28494430.0,84920071.0,2350626.0,5358.0,,
Population 188,80732376.0,34539469.0,582253.0,692.0,,
Population 189,111995598.0,3803173.0,32690.0,,,
Population 190,99413218.0,16249981.0,173525.0,,,
Population 191,73075252.0,31221292.0,11516771.0,45017.0,,
Population 192,5536845.0,105560616.0,4661686.0,113570.0,101.0,
Population 193,53242383.0,61070035.0,1560612.0,4936.0,,
Population 194,98229057.0,16208113.0,994186.0,4505.0,,
Population 195,112920017.0,2913214.0,12347.0,,,
Population 196,39473244.0,75606802.0,817045.0,1729.0,,
Population 197,41091860.0,71395217.0,3314518.0,27243.0,,
Population 198,105257856.0,10380342.0,215754.0,,,
Population 199,48120004.0,65612098.0,2150553.0,4285.0,,
Population 200,112349341.0,3309123.0,161414.0,174.0,,
Population 201,59441597.0,55898779.0,350802.0,1048.0,,
Population 202,38519597.0,76269946.0,1061722.0,958.0,,
Population 203,111525365.0,4281545.0,13225.0,,,
Population 204,55777712.0,54280243.0,5784130.0,12961.0,,
