,1,2,3,4,5,6
Population 0,12046549.0,101582585.0,2290031.0,2257.0,,
Population 1,4254910.0,107704211.0,3912344.0,19632.0,,
Population 2,36898684.0,78164344.0,863658.0,283.0,,
Population 3,905872.0,102983715.0,11872309.0,138050.0,171.0,
Population 4,758455.0,110192852.0,4902807.0,29301.0,,
Population 5,7716200.0,77331441.0,30533785.0,312291.0,187.0,
Population 6,12540846.0,31424201.0,69528495.0,2413498.0,1497.0,
Population 7,34069930.0,80436695.0,1370999.0,5256.0,,
Population 8,1929563.0,111561648.0,2375906.0,6676.0,,
Population 9,7407095.0,106702234.0,1787764.0,5099.0,,
Population 10,86734699.0,28150084.0,993530.0,2134.0,,
Population 11,3943784.0,106545575.0,5389038.0,16630.0,,
Population 12,24417216.0,25102058.0,61809246.0,4552801.0,16082.0,
Population 13,0.0,100650431.0,1872660.0,74904.0,560.0,
Population 14,66839482.0,48150769.0,894879.0,911.0,,
Population 15,22164719.0,92017665.0,1717865.0,6158.0,,
Population 16,31504757.0,83558771.0,844758.0,1754.0,,
Population 17,7551543.0,104222858.0,4061839.0,63193.0,329.0,
Population 18,269285.0,105475321.0,10005284.0,119526.0,348.0,
Population 19,56758634.0,58137671.0,992078.0,918.0,,
Population 20,5712924.0,107297079.0,2863106.0,10491.0,,
Population 21,43710828.0,71661449.0,550918.0,3237.0,,
Population 22,972212.0,83152310.0,31589934.0,180699.0,,
Population 23,71606956.0,43833900.0,420869.0,496.0,,
Population 24,61659855.0,48816870.0,4152851.0,1208097.0,5568.0,
Population 25,106546394.0,9235592.0,71203.0,,,
Population 26,0.0,69029353.0,46458540.0,372513.0,579.0,
Population 27,396636.0,53476242.0,57117689.0,4892266.0,18854.0,
Population 28,104656418.0,11115885.0,50105.0,,,
Population 29,0.0,96296429.0,19247242.0,193509.0,,
Population 30,5454701.0,103118861.0,7286156.0,20039.0,,
Population 31,47123282.0,63085378.0,5658274.0,30997.0,323.0,
Population 32,111813066.0,4007298.0,27154.0,252.0,,
Population 33,86477766.0,29192403.0,208374.0,261.0,,
Population 34,128832.0,104007525.0,11593934.0,133037.0,167.0,
Population 35,7651808.0,102100511.0,6124203.0,22669.0,,
Population 36,5967543.0,106446209.0,3482795.0,10102.0,,
Population 37,11609178.0,100779870.0,3523291.0,5007.0,,
Population 38,6729047.0,102649513.0,6335084.0,194778.0,105.0,
Population 39,11944156.0,99845002.0,4018546.0,128553.0,189.0,
Population 40,64786531.0,28959943.0,22031621.0,121963.0,113.0,
Population 41,19678917.0,94963445.0,1279533.0,3331.0,,
Population 42,17068804.0,84116647.0,14544135.0,176662.0,990.0,
Population 43,65746638.0,49618343.0,521414.0,269.0,,
Population 44,32816884.0,75421229.0,7633706.0,43578.0,,
Population 45,79296637.0,36108213.0,406878.0,,,
Population 46,11559713.0,48346469.0,55704794.0,322191.0,,
Population 47,42518525.0,72333864.0,1048405.0,1472.0,,
Population 48,17859139.0,90259674.0,7732931.0,49141.0,1985.0,
Population 49,102076640.0,13101203.0,609780.0,719.0,,
Population 50,95903387.0,19770293.0,186246.0,4762.0,,
Population 51,3632333.0,89368961.0,22729827.0,155058.0,253.0,
Population 52,5637849.0,106752474.0,3469822.0,39401.0,,
Population 53,1789576.0,107455470.0,6491480.0,134700.0,344.0,
Population 54,100006535.0,15770443.0,78576.0,,,
Population 55,13948515.0,80484767.0,21379674.0,85785.0,637.0,
Population 56,48826246.0,64876003.0,2207706.0,961.0,,
Population 57,67366017.0,47669042.0,786865.0,5033.0,,
Population 58,1839554.0,99482010.0,14444473.0,129041.0,,
Population 59,0.0,61323525.0,51487033.0,2822597.0,16557.0,
Population 60,1888265.0,70684613.0,43082464.0,245498.0,484.0,
Population 61,60536587.0,51158865.0,4128817.0,15733.0,,
Population 62,8281432.0,104644279.0,2970020.0,8191.0,,
Population 63,29592513.0,81029352.0,5271051.0,15942.0,,
Population 64,4844975.0,108794801.0,2256147.0,6799.0,,
Population 65,106760751.0,8836034.0,256747.0,101.0,,
Population 66,108907428.0,6761239.0,164648.0,,,
Population 67,59624522.0,55295739.0,974906.0,2037.0,,
Population 68,101266487.0,14377476.0,183966.0,106.0,,
Population 69,7502635.0,104242407.0,4076790.0,85167.0,108.0,
Population 70,25118755.0,89589921.0,1164106.0,1719.0,,
Population 71,11664934.0,102738049.0,1510340.0,5135.0,,
Population 72,377490.0,86239327.0,29096797.0,176605.0,,
Population 73,6109607.0,32142708.0,77182535.0,501462.0,272.0,
Population 74,25462677.0,75341242.0,15023013.0,60966.0,170.0,
Population 75,0.0,53317474.0,1477468.0,2688.0,,
Population 76,43976108.0,62072536.0,9806985.0,59610.0,,
Population 77,736281.0,105450510.0,9657116.0,39536.0,,
Population 78,10848860.0,103423840.0,1586769.0,6446.0,,
Population 79,36979251.0,74991253.0,3922125.0,15389.0,,
Population 80,62658505.0,42779087.0,10424695.0,43296.0,268.0,
Population 81,24914212.0,45430224.0,45175729.0,411839.0,213.0,
Population 82,40153169.0,73562028.0,2170709.0,13010.0,,
Population 83,27580738.0,86606054.0,1702672.0,1864.0,,
Population 84,12369949.0,100278586.0,3216521.0,35683.0,,
Population 85,821047.0,113434543.0,1612450.0,5772.0,,
Population 86,580034.0,110038942.0,5247528.0,29810.0,,
Population 87,4095691.0,108933007.0,2852403.0,9912.0,,
Population 88,19197080.0,95904034.0,795204.0,1920.0,,
Population 89,2371131.0,112357313.0,1168061.0,1995.0,,
Population 90,29314543.0,85136447.0,1466377.0,7177.0,,
Population 91,0.0,105039453.0,3706182.0,59692.0,,
