,1,2,3,4,5
Population 0,886614.0,108061.0,648.0,6.0,
Population 1,663989.0,117634.0,623.0,1.0,
Population 2,930507.0,66046.0,672.0,1134.0,21.0
Population 3,625098.0,22211.0,395.0,,
Population 4,48571.0,858071.0,32546.0,8584.0,14.0
Population 5,749781.0,6933.0,12.0,,
Population 6,567851.0,95507.0,213.0,,
Population 7,969778.0,27802.0,143.0,,
Population 8,858886.0,15320.0,57.0,,
Population 9,967590.0,28977.0,86.0,,
Population 10,862924.0,11336.0,32.0,,
Population 11,932468.0,66378.0,232.0,,
Population 12,360724.0,564453.0,11785.0,26.0,
Population 13,901936.0,87312.0,585.0,,
Population 14,703606.0,20928.0,97.0,,
Population 15,913591.0,48376.0,107.0,3.0,
Population 16,641132.0,9559.0,46.0,,
Population 17,327385.0,5472.0,23.0,,
Population 18,873307.0,76294.0,395.0,,
Population 19,731755.0,45563.0,340.0,,
Population 20,438954.0,7641.0,12.0,,
Population 21,800668.0,86575.0,416.0,,
Population 22,446276.0,549882.0,3237.0,1.0,
Population 23,64212.0,876544.0,23968.0,143.0,
Population 24,848261.0,116424.0,718.0,,
Population 25,883892.0,38174.0,285.0,,
Population 26,784248.0,88809.0,249.0,,
Population 27,197268.0,766934.0,12702.0,14.0,
Population 28,761800.0,10409.0,54.0,,
Population 29,787674.0,42439.0,277.0,,
Population 30,929383.0,10634.0,39.0,,
Population 31,971065.0,24641.0,96.0,,
Population 32,774197.0,27399.0,272.0,,
Population 33,855458.0,43791.0,119.0,,
Population 34,628136.0,22145.0,50.0,,
Population 35,902198.0,93667.0,974.0,3.0,
Population 36,817597.0,39115.0,252.0,1.0,
Population 37,537357.0,6349.0,4.0,,
Population 38,968311.0,16352.0,38.0,,
Population 39,910604.0,49941.0,2399.0,3.0,
Population 40,681136.0,49864.0,350.0,,
Population 41,666256.0,38832.0,171.0,10.0,
Population 42,932302.0,21520.0,221.0,,
Population 43,568692.0,7493.0,16.0,,
Population 44,972773.0,16129.0,59.0,,
Population 45,920732.0,19484.0,91.0,,
Population 46,935571.0,54738.0,531.0,3.0,
Population 47,899435.0,90012.0,381.0,,
Population 48,932881.0,26636.0,126.0,,
Population 49,764071.0,31494.0,487.0,,
Population 50,835465.0,157638.0,1118.0,4.0,
Population 51,903814.0,90404.0,776.0,4.0,
Population 52,729157.0,4523.0,4.0,,
Population 53,940221.0,54916.0,285.0,,
Population 54,692944.0,17884.0,244.0,,
Population 55,774139.0,57802.0,294.0,,
Population 56,469193.0,28177.0,92.0,,
Population 57,39667.0,938096.0,7498.0,64.0,4.0
Population 58,613971.0,14319.0,22.0,,
Population 59,397590.0,394513.0,12132.0,107.0,2.0
Population 60,916967.0,45238.0,278.0,3.0,
Population 61,859674.0,47957.0,1947.0,6.0,
Population 62,613420.0,19124.0,34.0,,
Population 63,460410.0,532314.0,7230.0,19.0,
Population 64,862276.0,21300.0,342.0,,
Population 65,641304.0,8561.0,23.0,,
Population 66,926074.0,13679.0,27.0,,
Population 67,472476.0,8667.0,19.0,,
Population 68,865584.0,108295.0,553.0,,
Population 69,624623.0,288272.0,1390.0,3.0,
Population 70,728829.0,25680.0,127.0,,
Population 71,756531.0,23334.0,100.0,,
Population 72,647936.0,229588.0,2067.0,10.0,
Population 73,682071.0,52962.0,371.0,,
Population 74,253578.0,735767.0,10599.0,14.0,
Population 75,860672.0,10340.0,25.0,,
Population 76,920751.0,7502.0,30.0,,
Population 77,816144.0,59704.0,1275.0,2.0,
Population 78,753255.0,31285.0,73.0,,
Population 79,549558.0,4464.0,56.0,,
Population 80,759668.0,16919.0,534.0,,
Population 81,879303.0,10698.0,14.0,,
Population 82,857183.0,9514.0,29.0,,
Population 83,65809.0,751834.0,117914.0,574.0,
Population 84,673409.0,247349.0,7017.0,110.0,17.0
Population 85,541816.0,9786.0,30.0,,
Population 86,733660.0,15680.0,60.0,,
Population 87,701766.0,15947.0,38.0,,
Population 88,961963.0,17287.0,38.0,,
Population 89,225222.0,397562.0,1673.0,5.0,
Population 90,326493.0,6061.0,37.0,,
Population 91,940426.0,54213.0,425.0,4.0,
Population 92,586611.0,373526.0,2444.0,,
Population 93,614645.0,33319.0,286.0,28.0,4.0
Population 94,757388.0,184031.0,1093.0,664.0,4.0
Population 95,701450.0,77029.0,143.0,,
Population 96,675157.0,318419.0,4610.0,6.0,
Population 97,369060.0,14034.0,28.0,,
Population 98,478594.0,484059.0,6104.0,19.0,
Population 99,803614.0,152018.0,2295.0,2.0,
Population 100,846192.0,60432.0,281.0,,
Population 101,760488.0,134023.0,1262.0,9.0,
Population 102,390596.0,536374.0,3808.0,9.0,
Population 103,858909.0,29957.0,74.0,,
Population 104,925432.0,64811.0,200.0,,
Population 105,876489.0,22362.0,47.0,,
Population 106,334969.0,5017.0,63.0,,
Population 107,402809.0,9520.0,62.0,,
Population 108,833859.0,46779.0,198.0,,
Population 109,501426.0,12258.0,17.0,,
Population 110,640119.0,33632.0,99.0,,
Population 111,869617.0,54063.0,177.0,,
Population 112,759759.0,19151.0,59.0,,
Population 113,947289.0,29240.0,108.0,,
Population 114,663639.0,4810.0,11.0,,
Population 115,452690.0,7113.0,151.0,,
Population 116,395055.0,13797.0,72.0,,
Population 117,538542.0,32539.0,875.0,,
Population 118,860291.0,24140.0,63.0,,
Population 119,870043.0,84118.0,867.0,8.0,
Population 120,762529.0,18038.0,73.0,,
Population 121,749416.0,19518.0,35.0,,
Population 122,29011.0,952797.0,11641.0,26.0,
Population 123,627056.0,14755.0,65.0,,
Population 124,587452.0,330249.0,1517.0,2.0,
Population 125,733898.0,12673.0,55.0,,
Population 126,963632.0,11940.0,51.0,,
Population 127,743660.0,93999.0,686.0,,
Population 128,823868.0,4946.0,3.0,,
Population 129,790375.0,38586.0,82.0,,
Population 130,857686.0,24785.0,46.0,,
Population 131,828639.0,9978.0,23.0,,
Population 132,727979.0,217511.0,1875.0,,
Population 133,700560.0,11820.0,111.0,,
Population 134,405481.0,54163.0,435.0,,
Population 135,652910.0,29291.0,991.0,,
Population 136,916807.0,48114.0,131.0,,
Population 137,759967.0,64300.0,650.0,,
Population 138,808355.0,70644.0,969.0,4.0,
Population 139,561090.0,6845.0,29.0,,
Population 140,292358.0,273428.0,1355.0,1.0,
Population 141,951987.0,46044.0,332.0,,
Population 142,905902.0,78801.0,529.0,,
Population 143,845093.0,8845.0,16.0,,
Population 144,818046.0,18555.0,74.0,,
Population 145,756594.0,33558.0,184.0,,
Population 146,843150.0,71306.0,270.0,,
Population 147,877466.0,118891.0,3200.0,,
Population 148,905179.0,20429.0,63.0,,
Population 149,752422.0,8544.0,55.0,,
Population 150,697030.0,90735.0,895.0,,
Population 151,685007.0,14056.0,294.0,,
Population 152,892194.0,94001.0,240.0,,
Population 153,719405.0,19944.0,62.0,,
Population 154,782419.0,177292.0,1466.0,1.0,
Population 155,730268.0,31343.0,98.0,,
Population 156,700639.0,89564.0,367.0,,
Population 157,932209.0,24785.0,81.0,,
Population 158,188100.0,744038.0,45682.0,218.0,
Population 159,374577.0,4332.0,5.0,,
Population 160,876915.0,107967.0,3477.0,4.0,
Population 161,639039.0,62572.0,2574.0,3.0,
Population 162,934244.0,63959.0,274.0,1.0,
Population 163,688876.0,7794.0,52.0,,
Population 164,665380.0,14832.0,36.0,,
Population 165,762076.0,20092.0,15.0,,
Population 166,717884.0,48457.0,188.0,,
Population 167,915603.0,11835.0,120.0,,
Population 168,929130.0,58265.0,289.0,,
Population 169,771476.0,11886.0,19.0,,
Population 170,783672.0,175316.0,3177.0,18.0,
Population 171,155910.0,710455.0,27778.0,170.0,
Population 172,957223.0,29735.0,60.0,,
Population 173,779023.0,46239.0,181.0,,
