,1,2
Population 0,34.0,
Population 1,83.0,
Population 2,31.0,
Population 3,63.0,
Population 4,29.0,
Population 5,350.0,
Population 6,92.0,
Population 7,120.0,
Population 8,159.0,
Population 9,28.0,
Population 10,38.0,
Population 11,56.0,1.0
Population 12,87.0,
Population 13,65.0,2.0
Population 14,53.0,
Population 15,51.0,
Population 16,28.0,
Population 17,56.0,
Population 18,82.0,
Population 19,55.0,
Population 20,20.0,
Population 21,324.0,
Population 22,41.0,
Population 23,71.0,1.0
Population 24,53.0,
Population 25,110.0,
Population 26,49.0,
Population 27,36.0,
Population 28,95.0,
Population 29,67.0,
Population 30,60.0,
Population 31,77.0,
Population 32,65.0,
Population 33,45.0,
Population 34,47.0,
Population 35,232.0,
Population 36,37.0,
Population 37,423.0,
Population 38,41.0,
Population 39,723.0,
Population 40,55.0,
Population 41,69.0,
Population 42,58.0,1.0
Population 43,158.0,
Population 44,31.0,
Population 45,79.0,
Population 46,95.0,
Population 47,141.0,
Population 48,28.0,
Population 49,134.0,
Population 50,20.0,
Population 51,97.0,
Population 52,31.0,
Population 53,80.0,
Population 54,72.0,
Population 55,85.0,
Population 56,162.0,
Population 57,67.0,
Population 58,50.0,
Population 59,107.0,
Population 60,107.0,
Population 61,87.0,
Population 62,68.0,
Population 63,71.0,
Population 64,103.0,
Population 65,131.0,
Population 66,60.0,
Population 67,66.0,
Population 68,616.0,1.0
Population 69,145.0,
Population 70,115.0,
Population 71,33.0,
Population 72,105.0,
Population 73,53.0,
Population 74,50.0,
Population 75,115.0,
Population 76,33.0,
Population 77,106.0,
Population 78,36.0,
Population 79,63.0,
Population 80,58.0,
Population 81,29.0,
Population 82,33.0,
Population 83,112.0,
Population 84,68.0,
Population 85,499.0,
Population 86,105.0,
Population 87,45.0,
Population 88,58.0,
Population 89,91.0,1.0
Population 90,59.0,
Population 91,70.0,
Population 92,77.0,
Population 93,162.0,
Population 94,116.0,
Population 95,105.0,
Population 96,224.0,
Population 97,495.0,3.0
Population 98,43.0,
Population 99,123.0,
Population 100,40.0,
Population 101,71.0,
Population 102,99.0,
Population 103,72.0,
Population 104,116.0,
Population 105,71.0,
Population 106,30.0,
Population 107,1471.0,2.0
Population 108,40.0,
Population 109,69.0,
Population 110,59.0,
Population 111,26.0,
Population 112,115.0,
Population 113,91.0,
Population 114,63.0,
Population 115,42.0,
Population 116,451.0,5.0
Population 117,49.0,
Population 118,78.0,
Population 119,20.0,
Population 120,54.0,
Population 121,53.0,1.0
Population 122,69.0,
Population 123,50.0,
Population 124,23.0,
Population 125,146.0,
Population 126,38.0,
Population 127,57.0,
Population 128,92.0,
Population 129,39.0,
Population 130,38.0,
Population 131,53.0,
