,1,2,3
Population 0,81.0,,
Population 1,58.0,,
Population 2,36.0,,
Population 3,27.0,,
Population 4,117.0,,
Population 5,53.0,,
Population 6,57.0,,
Population 7,3452.0,11.0,
Population 8,50.0,,
Population 9,813.0,1.0,
Population 10,117.0,,
Population 11,46.0,,
Population 12,27.0,,
Population 13,233.0,,
Population 14,58.0,,
Population 15,49.0,,
Population 16,37.0,,
Population 17,271.0,,
Population 18,458.0,2.0,
Population 19,90.0,,
Population 20,84.0,,
Population 21,67.0,1.0,
Population 22,29.0,,
Population 23,99.0,,
Population 24,26.0,,
Population 25,46.0,,
Population 26,96.0,,
Population 27,28.0,,
Population 28,44.0,1.0,
Population 29,84.0,,
Population 30,52.0,,
Population 31,32.0,,
Population 32,71.0,,
Population 33,101.0,,
Population 34,36.0,,
Population 35,191.0,,
Population 36,32.0,,
Population 37,78.0,,
Population 38,78.0,,
Population 39,33.0,,
Population 40,63.0,,
Population 41,22.0,,
Population 42,74.0,,
Population 43,51.0,,
Population 44,865.0,1.0,
Population 45,106.0,,
Population 46,164.0,,
Population 47,80.0,,
Population 48,61.0,,
Population 49,58.0,,
Population 50,347.0,,
Population 51,1702.0,9.0,
Population 52,34.0,,
Population 53,158.0,4.0,
Population 54,307.0,,
Population 55,44.0,,
Population 56,200.0,,
Population 57,172.0,,
Population 58,2601.0,1.0,
Population 59,180.0,,
Population 60,53.0,,
Population 61,7742.0,683.0,
Population 62,124.0,,
Population 63,384.0,,
Population 64,40.0,,
Population 65,21.0,,
Population 66,80.0,,
Population 67,57.0,,
Population 68,31.0,,
Population 69,120.0,,
Population 70,105.0,,
Population 71,75.0,,
Population 72,278.0,2.0,
Population 73,131.0,,
Population 74,155.0,,
Population 75,24.0,,
Population 76,430.0,,
Population 77,79.0,,
Population 78,481.0,,
Population 79,48.0,,
Population 80,30.0,,
Population 81,250.0,,
Population 82,54.0,,
Population 83,8.0,,
Population 84,23.0,,
Population 85,56.0,,
Population 86,33.0,,
Population 87,186.0,3.0,
Population 88,28.0,,
Population 89,104.0,,
Population 90,231.0,,
Population 91,1113.0,13.0,
Population 92,484.0,1.0,
Population 93,54.0,,
Population 94,50.0,,
Population 95,105.0,,
Population 96,1241.0,2.0,
Population 97,61.0,,
Population 98,34.0,,
Population 99,26.0,,
Population 100,39.0,,
Population 101,51.0,,
Population 102,57.0,,
Population 103,56.0,,
Population 104,49.0,,
Population 105,123.0,,
Population 106,29.0,,
Population 107,26.0,,
Population 108,60.0,,
Population 109,730.0,4.0,
Population 110,87.0,,
Population 111,45.0,,
Population 112,65.0,,
Population 113,114.0,,
Population 114,37.0,,
Population 115,59.0,,
Population 116,96.0,,
Population 117,135.0,,
Population 118,98.0,,
Population 119,165.0,,
Population 120,74.0,,
Population 121,62.0,,
Population 122,62.0,,
Population 123,115.0,,
Population 124,104.0,,
Population 125,26.0,,
Population 126,79.0,,
Population 127,389.0,1.0,
Population 128,42.0,,
Population 129,55.0,,
Population 130,54.0,,
Population 131,74.0,,
Population 132,68.0,,
Population 133,487.0,1.0,
Population 134,451.0,,
Population 135,82.0,,
Population 136,35.0,,
Population 137,59.0,,
Population 138,161.0,,
Population 139,251.0,,
Population 140,76.0,,
Population 141,54.0,,
Population 142,103.0,,
Population 143,74.0,,
Population 144,44.0,,
Population 145,96.0,,
Population 146,36.0,,
Population 147,47.0,,
Population 148,40.0,,
Population 149,48.0,,
Population 150,101.0,,
Population 151,401.0,4.0,
Population 152,32.0,,
Population 153,153.0,,
Population 154,27.0,,
Population 155,94.0,,
Population 156,13.0,,
Population 157,65.0,,
Population 158,22.0,,
Population 159,49.0,,
Population 160,18.0,,
Population 161,77.0,,
Population 162,60.0,,
Population 163,40.0,,
Population 164,197.0,,
Population 165,151.0,,
Population 166,54.0,,
Population 167,254.0,2.0,
Population 168,145.0,,
Population 169,122.0,1.0,
Population 170,54.0,,
Population 171,4672.0,34.0,1.0
Population 172,68.0,,
Population 173,29.0,,
Population 174,211.0,,
Population 175,42.0,,
Population 176,42.0,,
Population 177,23.0,,
Population 178,2053.0,4.0,
Population 179,210.0,,
Population 180,108.0,,
Population 181,19.0,,
Population 182,818.0,,
Population 183,63.0,,
Population 184,76.0,,
Population 185,43.0,,
Population 186,19.0,,
Population 187,1009.0,4.0,
Population 188,113.0,,
Population 189,87.0,,
Population 190,102.0,,
Population 191,326.0,,
Population 192,84.0,1.0,
Population 193,51.0,,
Population 194,112.0,,
Population 195,113.0,,
Population 196,111.0,,
Population 197,24.0,,
Population 198,27.0,,
Population 199,220.0,,
Population 200,114.0,,
Population 201,25.0,,
Population 202,80.0,,
Population 203,15.0,,
Population 204,32.0,,
Population 205,107.0,,
Population 206,69.0,,
Population 207,96.0,,
Population 208,76.0,,
Population 209,199.0,,
Population 210,154.0,,
Population 211,43.0,,
Population 212,61.0,,
Population 213,5584.0,7.0,
Population 214,150.0,,
Population 215,71.0,,
Population 216,25.0,,
Population 217,56.0,,
Population 218,20.0,,
Population 219,96.0,,
Population 220,98.0,,
Population 221,20.0,,
Population 222,83.0,,
Population 223,77.0,,
Population 224,713.0,,
Population 225,106.0,,
Population 226,96.0,,
Population 227,263.0,,
Population 228,45.0,,
Population 229,29.0,,
Population 230,53.0,,
Population 231,124.0,,
Population 232,71.0,1.0,
Population 233,110.0,,
Population 234,167.0,,
Population 235,53.0,,
Population 236,116.0,,
Population 237,1549.0,5.0,
Population 238,106.0,,
Population 239,129.0,,
Population 240,122.0,,
Population 241,88.0,13.0,
Population 242,116.0,,
Population 243,56.0,,
Population 244,165.0,,
Population 245,67.0,,
Population 246,53.0,,
Population 247,83.0,,
Population 248,55.0,,
Population 249,134.0,,
Population 250,159.0,,
Population 251,59.0,2.0,
Population 252,1529.0,4.0,
Population 253,31.0,,
Population 254,111.0,,
Population 255,50.0,,
Population 256,96.0,1.0,
Population 257,71.0,,
Population 258,23.0,,
Population 259,397.0,,
Population 260,46.0,,
Population 261,84.0,,
Population 262,55.0,,
Population 263,49.0,,
Population 264,153.0,2.0,
Population 265,59.0,,
Population 266,38.0,,
Population 267,73.0,,
Population 268,189.0,,
Population 269,21.0,,
Population 270,174.0,,
Population 271,39.0,,
Population 272,55.0,,
Population 273,51.0,,
Population 274,229.0,,
Population 275,123.0,,
Population 276,41.0,,
Population 277,32.0,,
Population 278,233.0,1.0,
Population 279,46.0,,
Population 280,21.0,,
Population 281,28.0,,
Population 282,43.0,,
Population 283,47.0,,
Population 284,57.0,,
Population 285,423.0,,
Population 286,74.0,,
Population 287,101.0,4.0,
Population 288,103.0,1.0,
Population 289,103.0,1.0,
Population 290,66.0,,
Population 291,404.0,14.0,
Population 292,79.0,,
Population 293,158.0,,
Population 294,91.0,,
Population 295,39.0,,
Population 296,169.0,,
Population 297,77.0,1.0,
Population 298,109.0,,
Population 299,143.0,,
Population 300,68.0,,
Population 301,354.0,,
Population 302,58.0,,
Population 303,94.0,,
Population 304,316.0,,
Population 305,94.0,,
Population 306,104.0,,
Population 307,41.0,,
Population 308,96.0,,
Population 309,386.0,,
Population 310,93.0,,
Population 311,87.0,,
Population 312,576.0,,
Population 313,31.0,,
Population 314,49.0,,
Population 315,337.0,1.0,
Population 316,915.0,2.0,
Population 317,59.0,,
Population 318,54.0,2.0,
Population 319,211.0,,
Population 320,33.0,,
Population 321,84.0,,
Population 322,126.0,2.0,
Population 323,82.0,,
Population 324,59.0,,
Population 325,223.0,,
Population 326,73.0,,
Population 327,26.0,,
Population 328,30.0,,
Population 329,37.0,,
Population 330,51.0,,
Population 331,83.0,,
Population 332,111.0,,
Population 333,45.0,,
Population 334,33.0,,
Population 335,65.0,,
Population 336,534.0,1.0,
Population 337,75.0,,
Population 338,96.0,,
Population 339,68.0,,
Population 340,67.0,,
Population 341,73.0,,
Population 342,46.0,,
Population 343,79.0,,
Population 344,66.0,,
Population 345,17.0,,
Population 346,25.0,,
Population 347,63.0,,
Population 348,100.0,,
Population 349,121.0,,
Population 350,33.0,,
Population 351,177.0,4.0,
Population 352,58.0,,
Population 353,82.0,,
Population 354,69.0,,
Population 355,34.0,,
Population 356,470.0,1.0,
Population 357,46.0,,
Population 358,103.0,,
Population 359,31.0,,
Population 360,47.0,,
Population 361,77.0,,
Population 362,32.0,,
Population 363,58.0,,
Population 364,53.0,,
Population 365,111.0,,
Population 366,123.0,,
Population 367,105.0,,
Population 368,83.0,,
Population 369,121.0,,
Population 370,44.0,,
Population 371,38.0,,
Population 372,43.0,,
Population 373,100.0,,
Population 374,76.0,,
Population 375,1136.0,2.0,
Population 376,93.0,,
Population 377,548.0,,
Population 378,16.0,,
Population 379,99.0,,
Population 380,87.0,,
Population 381,23.0,,
Population 382,207.0,,
Population 383,383.0,,
Population 384,12575.0,54.0,
Population 385,53.0,3.0,
Population 386,182.0,,
Population 387,1183.0,,
Population 388,87.0,3.0,
Population 389,213.0,,
Population 390,113.0,,
Population 391,30.0,,
Population 392,47.0,,
Population 393,65.0,,
Population 394,46.0,,
Population 395,73.0,1.0,
Population 396,44.0,,
Population 397,45.0,,
Population 398,31.0,,
Population 399,18.0,,
Population 400,166.0,,
Population 401,117.0,2.0,
Population 402,47.0,,
Population 403,70.0,,
Population 404,191.0,1.0,
Population 405,51.0,,
Population 406,24.0,,
Population 407,83.0,,
Population 408,73.0,,
Population 409,86.0,,
Population 410,128.0,,
Population 411,130.0,,
Population 412,584.0,,
Population 413,88.0,,
Population 414,59.0,,
Population 415,163.0,1.0,
Population 416,47.0,,
Population 417,184.0,,
Population 418,42.0,,
Population 419,36.0,,
Population 420,187.0,,
Population 421,87.0,,
Population 422,127.0,1.0,
Population 423,56.0,,
Population 424,125.0,2.0,
Population 425,79.0,,
Population 426,40.0,,
Population 427,38.0,,
