,1,2,3,4
Population 0,1035379.0,645.0,,
Population 1,958800.0,3534.0,,
Population 2,1461187.0,5699.0,,
Population 3,4018344.0,10366.0,,
Population 4,1433596.0,3548.0,,
Population 5,1406397.0,2036.0,,
Population 6,1841426.0,8854.0,,
Population 7,1530163.0,10674.0,,
Population 8,1714449.0,26723.0,,
Population 9,953390.0,2690.0,,
Population 10,1935982.0,5179.0,,
Population 11,4597447.0,23093.0,123.0,
Population 12,1240558.0,3257.0,,
Population 13,2453075.0,17437.0,,
Population 14,1067174.0,3055.0,,
Population 15,1776731.0,4619.0,,
Population 16,5628897.0,35443.0,682.0,
Population 17,921075.0,4355.0,,
Population 18,1709697.0,6684.0,,
Population 19,2183100.0,9531.0,,
Population 20,850665.0,4289.0,,
Population 21,1280086.0,4639.0,124.0,
Population 22,22739401.0,391607.0,310.0,
Population 23,963944.0,1917.0,,
Population 24,996191.0,2252.0,,
Population 25,1396105.0,4925.0,,
Population 26,1841185.0,26511.0,121.0,
Population 27,706987.0,546.0,,
Population 28,1321490.0,4423.0,,
Population 29,769978.0,3253.0,,
Population 30,3377441.0,8338.0,127.0,
Population 31,1010937.0,18179.0,,
Population 32,1029512.0,1590.0,,
Population 33,1407449.0,4267.0,,
Population 34,994297.0,3101.0,,
Population 35,1178937.0,129905.0,,
Population 36,3780639.0,12307.0,,
Population 37,1794100.0,7348.0,,
Population 38,2063660.0,8324.0,,
Population 39,1143463.0,1466.0,,
Population 40,3658067.0,10338.0,,
Population 41,862360.0,5008.0,,
Population 42,1172381.0,7768.0,,
Population 43,1457713.0,5736.0,,
Population 44,990862.0,2856.0,,
Population 45,958046.0,1475.0,,
Population 46,1224287.0,3112.0,,
Population 47,2069121.0,5491.0,,
Population 48,1182356.0,1582.0,,
Population 49,1361097.0,4057.0,,
Population 50,1144674.0,3125.0,,
Population 51,1923053.0,2776.0,,
Population 52,963973.0,5591.0,,
Population 53,991161.0,1265.0,,
Population 54,1525159.0,3800.0,,
Population 55,1002241.0,1098.0,,
Population 56,1182221.0,1010.0,,
Population 57,1334177.0,9256.0,,
Population 58,1048140.0,2243.0,,
Population 59,1078653.0,3151.0,,
Population 60,1416971.0,3199.0,,
Population 61,1814877.0,7929.0,,
Population 62,1363581.0,5144.0,,
Population 63,2484139.0,12002.0,151.0,
Population 64,1179730.0,2625.0,,
Population 65,4512143.0,47825.0,,
Population 66,1463768.0,6895.0,,
Population 67,887309.0,3078.0,,
Population 68,1556230.0,8070.0,,
Population 69,1077461.0,3289.0,,
Population 70,951099.0,4426.0,,
Population 71,1893649.0,6806.0,,
Population 72,1122637.0,4290.0,173.0,
Population 73,1672174.0,3065.0,,
Population 74,968815.0,1280.0,,
Population 75,3005466.0,11472.0,,
Population 76,8062677.0,37954.0,1510.0,
Population 77,1195059.0,1923.0,,
Population 78,5814486.0,30168.0,1169.0,
Population 79,954415.0,4631.0,,
Population 80,1318404.0,2783.0,,
Population 81,3386235.0,13312.0,,
Population 82,1489662.0,5368.0,,
Population 83,1332781.0,3589.0,447.0,
Population 84,980865.0,1429.0,,
Population 85,1344136.0,7293.0,,
Population 86,2408769.0,12089.0,,
Population 87,1026479.0,2748.0,,
Population 88,1267256.0,5020.0,,
Population 89,1095790.0,2427.0,,
Population 90,2025048.0,11265.0,,
Population 91,1443742.0,2966.0,,
Population 92,972332.0,3349.0,,
Population 93,1035665.0,5391.0,,
Population 94,992712.0,12157.0,,
Population 95,2906849.0,7906.0,,
Population 96,971731.0,7994.0,,
Population 97,1038830.0,1050.0,,
Population 98,964714.0,936.0,,
Population 99,736960.0,3582.0,,
Population 100,997678.0,2006.0,,
Population 101,6245684.0,37640.0,,
Population 102,933610.0,3588.0,,
Population 103,1972754.0,3892.0,,
Population 104,3828412.0,42583.0,,
Population 105,1733049.0,2613.0,,
Population 106,3566199.0,31177.0,,
Population 107,2101671.0,5984.0,,
Population 108,2112302.0,13439.0,,
Population 109,1950724.0,20038.0,,
Population 110,1444289.0,4368.0,,
Population 111,1285004.0,10827.0,213.0,
Population 112,888017.0,1454.0,,
Population 113,1846771.0,12873.0,,
Population 114,3818546.0,17730.0,,
Population 115,1025428.0,1701.0,,
Population 116,1505154.0,5254.0,,
Population 117,2708226.0,109689.0,,
Population 118,1595071.0,6202.0,,
Population 119,1872626.0,8250.0,,
Population 120,898974.0,1767.0,,
Population 121,1057891.0,2756.0,,
Population 122,1160073.0,7342.0,,
Population 123,1113104.0,1374.0,,
Population 124,1282556.0,6099.0,,
Population 125,1377472.0,8104.0,,
Population 126,791728.0,5949.0,,
Population 127,2421775.0,5184.0,,
Population 128,1762126.0,4802.0,,
Population 129,1102412.0,3549.0,,
Population 130,947086.0,1873.0,,
Population 131,822786.0,975.0,,
Population 132,1261520.0,1889.0,,
Population 133,1071778.0,2743.0,,
Population 134,1033822.0,774.0,,
Population 135,870313.0,2282.0,,
Population 136,1380595.0,15511.0,,
Population 137,1726466.0,13668.0,,
Population 138,2621251.0,14274.0,,
Population 139,1136914.0,3379.0,,
Population 140,820411.0,2196.0,,
Population 141,1555004.0,7044.0,,
Population 142,892953.0,8617.0,,
Population 143,844478.0,4034.0,,
Population 144,3227623.0,12995.0,,
Population 145,881501.0,2962.0,,
Population 146,693452.0,2880.0,,
Population 147,1542524.0,9389.0,,
Population 148,2885925.0,8698.0,,
Population 149,850161.0,1974.0,,
Population 150,1074733.0,2291.0,,
Population 151,2511468.0,6571.0,,
Population 152,1190972.0,3639.0,,
Population 153,1129443.0,8475.0,,
Population 154,904622.0,4873.0,,
Population 155,885165.0,3151.0,,
Population 156,1222688.0,2688.0,,
Population 157,1118678.0,4950.0,,
Population 158,5699630.0,36375.0,,
Population 159,1241108.0,1963.0,,
Population 160,1504434.0,5742.0,,
Population 161,2146911.0,41046.0,,
Population 162,3020266.0,10174.0,,
Population 163,1405693.0,2529.0,,
Population 164,789358.0,2401.0,,
Population 165,1103573.0,2602.0,,
Population 166,821539.0,345.0,,
Population 167,1539077.0,3581.0,,
Population 168,1277484.0,4294.0,,
Population 169,930470.0,1299.0,106.0,
Population 170,1664846.0,14629.0,653.0,
Population 171,1550731.0,10191.0,,
Population 172,1979451.0,29950.0,,
Population 173,985008.0,1276.0,,
Population 174,2157798.0,8537.0,,
Population 175,1031773.0,2928.0,,
Population 176,1038761.0,5066.0,,
Population 177,3879397.0,21517.0,,
Population 178,1022020.0,7245.0,,
Population 179,1392369.0,20287.0,,
Population 180,1066041.0,7508.0,,
Population 181,1068642.0,2262.0,,
