,1,2,3
Population 0,12465.0,52.0,
Population 1,8751.0,35.0,
Population 2,6742.0,82.0,
Population 3,8370.0,19.0,
Population 4,12900.0,30.0,
Population 5,11274.0,31.0,
Population 6,13109.0,46.0,
Population 7,16334.0,114.0,
Population 8,7576.0,7.0,
Population 9,8487.0,46.0,
Population 10,7886.0,9.0,
Population 11,8680.0,45.0,
Population 12,11504.0,46.0,
Population 13,8332.0,18.0,
Population 14,7245.0,13.0,
Population 15,6072.0,15.0,
Population 16,14818.0,45.0,
Population 17,12436.0,28.0,
Population 18,9285.0,33.0,
Population 19,7917.0,48.0,
Population 20,20234.0,89.0,
Population 21,11783.0,42.0,
Population 22,9340.0,25.0,
Population 23,7479.0,11.0,
Population 24,6746.0,5.0,
Population 25,9571.0,41.0,
Population 26,11817.0,19.0,
Population 27,15219.0,55.0,
Population 28,10389.0,2.0,
Population 29,6816.0,26.0,
Population 30,8854.0,31.0,
Population 31,11402.0,41.0,
Population 32,9568.0,25.0,
Population 33,7756.0,22.0,
Population 34,10065.0,27.0,
Population 35,19671.0,86.0,
Population 36,9177.0,26.0,
Population 37,8979.0,20.0,
Population 38,9251.0,50.0,2.0
Population 39,8877.0,13.0,
Population 40,35650.0,165.0,6.0
Population 41,13677.0,35.0,
Population 42,12640.0,53.0,
Population 43,8024.0,11.0,
Population 44,26320.0,128.0,
Population 45,11062.0,36.0,
Population 46,11814.0,49.0,
Population 47,9835.0,63.0,
Population 48,12579.0,34.0,
Population 49,10408.0,58.0,
Population 50,24343.0,65.0,
Population 51,8866.0,36.0,
Population 52,7528.0,16.0,
Population 53,7451.0,16.0,
Population 54,15301.0,16.0,
Population 55,14014.0,91.0,
Population 56,9065.0,28.0,
Population 57,8294.0,8.0,
Population 58,15357.0,86.0,
Population 59,6923.0,11.0,
Population 60,6297.0,11.0,
Population 61,7803.0,25.0,
Population 62,8917.0,89.0,
Population 63,9364.0,22.0,
Population 64,9607.0,44.0,
Population 65,6862.0,30.0,
Population 66,14906.0,39.0,1.0
Population 67,9607.0,45.0,
Population 68,9913.0,19.0,
Population 69,11364.0,18.0,
Population 70,26606.0,96.0,
Population 71,9120.0,18.0,
Population 72,8211.0,658.0,
Population 73,6092.0,6.0,
Population 74,12796.0,5.0,
Population 75,21968.0,119.0,
Population 76,5754.0,17.0,2.0
Population 77,7876.0,19.0,
Population 78,10672.0,44.0,
Population 79,10006.0,16.0,
Population 80,15539.0,52.0,
Population 81,9615.0,9.0,
Population 82,8792.0,37.0,
Population 83,116987.0,440.0,
Population 84,8445.0,26.0,
Population 85,7230.0,58.0,
Population 86,11559.0,37.0,
Population 87,7908.0,14.0,
Population 88,8296.0,11.0,
Population 89,9276.0,40.0,
Population 90,6849.0,8.0,
Population 91,11428.0,49.0,
Population 92,9401.0,35.0,
Population 93,10137.0,17.0,
Population 94,8337.0,12.0,
Population 95,18444.0,242.0,
Population 96,8387.0,28.0,
Population 97,14909.0,35.0,
Population 98,8780.0,21.0,
Population 99,10184.0,44.0,
Population 100,11392.0,25.0,
Population 101,59950.0,340.0,
Population 102,11960.0,66.0,
