,1,2,3,4
Population 0,15260.0,43.0,,
Population 1,25424.0,136.0,,
Population 2,12809.0,37.0,,
Population 3,14501.0,60.0,,
Population 4,18426.0,134.0,,
Population 5,10574.0,26.0,,
Population 6,16767.0,70.0,,
Population 7,9726.0,33.0,,
Population 8,242914.0,5390.0,26.0,
Population 9,11715.0,71.0,,
Population 10,36423.0,292.0,,
Population 11,15928.0,44.0,,
Population 12,13814.0,50.0,,
Population 13,19365.0,124.0,,
Population 14,10057.0,19.0,,
Population 15,37364.0,227.0,,
Population 16,9333.0,37.0,,
Population 17,43123.0,231.0,,
Population 18,18621.0,36.0,,
Population 19,9984.0,88.0,,
Population 20,24417.0,68.0,,
Population 21,11597.0,26.0,,
Population 22,53125.0,1874.0,5.0,
Population 23,13728.0,89.0,,
Population 24,12576.0,17.0,,
Population 25,41779.0,465.0,,
Population 26,17048.0,167.0,,
Population 27,10041.0,47.0,,
Population 28,8847.0,16.0,,
Population 29,20522.0,188.0,,
Population 30,29634.0,122.0,2.0,
Population 31,22721.0,143.0,,
Population 32,10096.0,51.0,,
Population 33,16574.0,60.0,,
Population 34,6556.0,37.0,,
Population 35,11251.0,286.0,,
Population 36,10445.0,32.0,,
Population 37,11605.0,56.0,,
Population 38,8448.0,52.0,,
Population 39,14753.0,69.0,,
Population 40,16728.0,34.0,,
Population 41,14397.0,419.0,3.0,
Population 42,11765.0,29.0,,
Population 43,12069.0,36.0,,
Population 44,20309.0,127.0,3.0,
Population 45,21292.0,109.0,,
Population 46,19031.0,280.0,,
Population 47,27715.0,228.0,,
Population 48,12960.0,39.0,,
Population 49,10303.0,118.0,,
Population 50,21003.0,138.0,1.0,
Population 51,16238.0,82.0,,
Population 52,8041.0,13.0,,
Population 53,8531.0,8.0,,
Population 54,24252.0,240.0,,
Population 55,49525.0,428.0,,
Population 56,12708.0,37.0,,
Population 57,39118.0,89.0,,
Population 58,11283.0,46.0,,
Population 59,26237.0,469.0,18.0,
Population 60,9924.0,12.0,,
Population 61,68680.0,500.0,,
Population 62,18025.0,53.0,,
Population 63,8774.0,28.0,,
Population 64,51564.0,2103.0,9.0,
Population 65,15635.0,30.0,,
Population 66,11727.0,35.0,,
Population 67,8108.0,15.0,,
Population 68,26240.0,110.0,,
Population 69,14515.0,47.0,,
Population 70,14740.0,69.0,,
Population 71,18506.0,71.0,,
Population 72,25520.0,171.0,,
Population 73,11209.0,15.0,,
Population 74,14027.0,31.0,,
Population 75,19329.0,79.0,,
Population 76,12237.0,143.0,,
Population 77,42587.0,288.0,,
Population 78,13056.0,88.0,,
Population 79,24774.0,1802.0,8.0,
Population 80,14059.0,37.0,,
Population 81,12436.0,65.0,,
Population 82,26432.0,338.0,,
Population 83,9130.0,17.0,,
Population 84,10833.0,22.0,,
Population 85,18301.0,123.0,,
Population 86,11242.0,195.0,,
Population 87,12886.0,26.0,,
Population 88,7889.0,68.0,,
Population 89,107469.0,670.0,,
Population 90,11954.0,101.0,,
Population 91,15673.0,35.0,,
Population 92,8185.0,31.0,,
Population 93,7099.0,58.0,,
Population 94,12883.0,58.0,,
Population 95,13811.0,114.0,,
Population 96,52889.0,458.0,3.0,
Population 97,23937.0,79.0,,
Population 98,13216.0,178.0,1.0,
Population 99,15645.0,57.0,,
Population 100,12351.0,59.0,,
Population 101,25082.0,161.0,,
Population 102,24600.0,204.0,,
Population 103,10174.0,24.0,,
Population 104,12408.0,73.0,6.0,
Population 105,41791.0,339.0,,
Population 106,164752.0,1153.0,1.0,
Population 107,10365.0,38.0,,
Population 108,69741.0,435.0,,
Population 109,74201.0,334.0,,
Population 110,11768.0,24.0,,
Population 111,36813.0,332.0,1.0,
Population 112,53616.0,329.0,,
Population 113,12751.0,30.0,,
Population 114,12888.0,34.0,,
Population 115,15432.0,24.0,,
Population 116,8898.0,26.0,,
Population 117,58906.0,210.0,,
Population 118,15306.0,57.0,,
Population 119,6420.0,5.0,,
Population 120,11282.0,37.0,,
Population 121,13073.0,27.0,,
Population 122,8746.0,31.0,,
Population 123,10435.0,27.0,,
Population 124,14341.0,111.0,,
Population 125,21395.0,825.0,3.0,
Population 126,13490.0,108.0,1.0,
Population 127,23146.0,267.0,,
Population 128,11039.0,14.0,,
Population 129,19674.0,81.0,,
Population 130,23193.0,113.0,,
Population 131,11335.0,50.0,,
Population 132,9098.0,19.0,,
Population 133,10428.0,29.0,,
Population 134,9357.0,25.0,,
Population 135,7971.0,26.0,,
Population 136,38190.0,9027.0,19.0,
Population 137,10468.0,23.0,,
