,1,2,3,4,5
Population 0,698451.0,8348.0,22.0,,
Population 1,96280.0,768.0,9.0,,
Population 2,83284.0,1575.0,22.0,,
Population 3,266802.0,87109.0,427.0,,
Population 4,371309.0,12236.0,29.0,,
Population 5,127305.0,1141.0,,,
Population 6,302369.0,8825.0,6.0,,
Population 7,351214.0,5340.0,16.0,,
Population 8,621467.0,292500.0,2234.0,4.0,
Population 9,165129.0,1151.0,1.0,,
Population 10,415315.0,99912.0,731.0,,
Population 11,829211.0,63009.0,765.0,3.0,
Population 12,613027.0,238136.0,1750.0,,
Population 13,175359.0,1715.0,3.0,,
Population 14,181038.0,2676.0,52.0,,
Population 15,877754.0,17070.0,439.0,,
Population 16,837945.0,18117.0,80.0,,
Population 17,675445.0,12325.0,6.0,,
Population 18,285204.0,64351.0,322.0,,
Population 19,140980.0,579.0,,,
Population 20,790781.0,27828.0,63.0,,
Population 21,291109.0,4120.0,,,
Population 22,308926.0,1941.0,49.0,,
Population 23,262995.0,343619.0,3304.0,2.0,
Population 24,793757.0,5857.0,28.0,,
Population 25,154640.0,3461.0,4.0,,
Population 26,371210.0,4930.0,3.0,,
Population 27,276648.0,6611.0,29.0,,
Population 28,520268.0,13832.0,9.0,,
Population 29,249713.0,6487.0,48.0,,
Population 30,836095.0,51611.0,163.0,,
Population 31,891287.0,52233.0,228.0,,
Population 32,202507.0,1786.0,5.0,,
Population 33,734008.0,20672.0,98.0,,
Population 34,162467.0,1428.0,6.0,,
Population 35,67668.0,445.0,,,
Population 36,285827.0,4213.0,1.0,,
Population 37,356146.0,66175.0,206.0,2.0,
Population 38,924762.0,29227.0,302.0,,
Population 39,146083.0,753.0,5.0,,
Population 40,155484.0,21297.0,405.0,,
Population 41,937153.0,10246.0,11.0,,
Population 42,772480.0,121494.0,8824.0,32.0,
Population 43,189912.0,1687.0,92.0,,
Population 44,167655.0,1410.0,,,
Population 45,214982.0,7891.0,9.0,,
Population 46,904924.0,12045.0,67.0,,
Population 47,818943.0,21834.0,56.0,,
Population 48,269404.0,1554.0,,,
Population 49,360676.0,3340.0,2.0,,
Population 50,138270.0,1252.0,,,
Population 51,215266.0,1186.0,17.0,,
Population 52,50265.0,501821.0,4057.0,8.0,
Population 53,790743.0,8292.0,92.0,,
Population 54,410174.0,10201.0,31.0,,
Population 55,914653.0,79772.0,4600.0,26.0,
Population 56,239023.0,6142.0,6.0,,
Population 57,320362.0,2804.0,,,
Population 58,473507.0,14024.0,110.0,,
Population 59,301708.0,5848.0,137.0,,
Population 60,96014.0,3518.0,7.0,,
Population 61,622762.0,13052.0,29.0,,
Population 62,634537.0,35261.0,592.0,2.0,
Population 63,253836.0,24872.0,66.0,,
Population 64,270819.0,8865.0,8.0,,
Population 65,250013.0,1947.0,,,
Population 66,212179.0,2124.0,6.0,,
Population 67,422462.0,8512.0,12.0,,
Population 68,457340.0,5614.0,92.0,,
Population 69,139433.0,2787.0,1.0,,
Population 70,332603.0,15622.0,792.0,,
Population 71,334095.0,8778.0,23.0,,
Population 72,693465.0,42519.0,532.0,,
Population 73,142614.0,1364.0,,,
Population 74,89975.0,556.0,2.0,,
Population 75,134976.0,1280.0,2.0,,
Population 76,602693.0,115874.0,332.0,,
Population 77,741759.0,18528.0,118.0,,
Population 78,146625.0,2046.0,2.0,,
Population 79,293719.0,7187.0,94.0,,
Population 80,210876.0,4080.0,22.0,,
Population 81,613441.0,169233.0,1148.0,,
Population 82,898817.0,26976.0,265.0,,
Population 83,928515.0,10280.0,36.0,,
Population 84,430284.0,42139.0,297.0,,
Population 85,845050.0,12360.0,80.0,,
Population 86,588120.0,12012.0,51.0,,
Population 87,404411.0,5565.0,4.0,,
Population 88,126082.0,1092.0,,,
Population 89,204565.0,6915.0,11.0,,
Population 90,687045.0,3865.0,1.0,,
Population 91,144231.0,10877.0,13.0,,
Population 92,93404.0,22110.0,465.0,14.0,
Population 93,538329.0,4346.0,14.0,,
Population 94,267701.0,5743.0,175.0,,
Population 95,839780.0,157658.0,948.0,3.0,
Population 96,903623.0,8373.0,20.0,,
Population 97,600012.0,16550.0,21.0,,
Population 98,900319.0,95999.0,1840.0,8.0,
Population 99,50885.0,427.0,2.0,,
Population 100,596169.0,28511.0,159.0,,
Population 101,184151.0,7698.0,193.0,,
Population 102,682093.0,10619.0,8.0,,
Population 103,821527.0,30842.0,151.0,,
Population 104,223834.0,9209.0,51.0,,
Population 105,746744.0,56716.0,247.0,,
Population 106,526675.0,24770.0,281.0,,
Population 107,183772.0,4401.0,12.0,,
Population 108,438212.0,8014.0,30.0,,
Population 109,719404.0,17878.0,147.0,4.0,
Population 110,153667.0,999.0,,,
Population 111,334897.0,2482.0,11.0,,
Population 112,155181.0,2471.0,1.0,,
Population 113,175633.0,2381.0,2.0,,
Population 114,380316.0,5427.0,40.0,,
Population 115,109759.0,1429.0,20.0,,
Population 116,583560.0,4319.0,4.0,,
Population 117,315502.0,3309.0,6.0,,
Population 118,282179.0,4420.0,8.0,,
Population 119,408718.0,15076.0,29.0,,
Population 120,151532.0,174299.0,1344.0,6.0,
Population 121,959112.0,22422.0,298.0,,
Population 122,186941.0,8667.0,58.0,,
Population 123,456446.0,10372.0,89.0,,
Population 124,343923.0,6505.0,173.0,3.0,
Population 125,405613.0,19522.0,52.0,,
Population 126,200581.0,70181.0,442.0,,
Population 127,60475.0,574.0,2.0,,
Population 128,757180.0,33921.0,526.0,,
Population 129,206034.0,2921.0,9.0,,
Population 130,121743.0,1900.0,4.0,,
Population 131,754135.0,37525.0,99.0,,
Population 132,144683.0,2303.0,29.0,,
Population 133,178230.0,3132.0,61.0,,
Population 134,208109.0,1513.0,3.0,,
Population 135,86802.0,451.0,3.0,,
Population 136,820513.0,11588.0,22.0,,
Population 137,497425.0,33595.0,68.0,,
Population 138,462154.0,6876.0,28.0,,
Population 139,137547.0,24502.0,279.0,,
Population 140,152116.0,2017.0,,,
Population 141,445624.0,40069.0,136.0,,
Population 142,875432.0,81363.0,3739.0,111.0,
Population 143,470183.0,6361.0,25.0,,
Population 144,705070.0,17592.0,66.0,,
Population 145,407731.0,15011.0,22.0,,
Population 146,176373.0,2202.0,15.0,,
Population 147,937719.0,13616.0,33.0,,
Population 148,328043.0,3339.0,90.0,,
Population 149,149589.0,3250.0,52.0,,
Population 150,475844.0,11138.0,59.0,,
Population 151,705466.0,23166.0,377.0,,
Population 152,789128.0,20620.0,165.0,,
Population 153,179178.0,3129.0,106.0,,
Population 154,248292.0,2703.0,9.0,,
Population 155,554602.0,32045.0,123.0,,
Population 156,136688.0,27320.0,146.0,,
Population 157,225635.0,2996.0,5.0,,
Population 158,147538.0,1331.0,,,
Population 159,119946.0,3527.0,21.0,,
Population 160,220700.0,5553.0,13.0,,
Population 161,591652.0,5582.0,28.0,,
Population 162,883141.0,9958.0,21.0,,
Population 163,410970.0,14112.0,3337.0,5.0,
Population 164,228784.0,3369.0,6.0,,
Population 165,178013.0,5904.0,5368.0,6.0,
Population 166,946290.0,14758.0,66.0,,
Population 167,667249.0,7354.0,41.0,,
Population 168,821511.0,53222.0,199.0,,
Population 169,356054.0,16356.0,35.0,,
Population 170,640647.0,3926.0,3.0,,
Population 171,215859.0,9595.0,65.0,,
Population 172,552588.0,5490.0,4.0,,
Population 173,96087.0,1226.0,5.0,,
Population 174,403174.0,7481.0,187.0,,
Population 175,59539.0,444.0,,,
Population 176,86212.0,1216.0,3.0,,
Population 177,684248.0,10416.0,15.0,,
Population 178,309763.0,4993.0,16.0,,
Population 179,433511.0,28075.0,392.0,6.0,
Population 180,354908.0,191751.0,1041.0,3.0,
Population 181,320127.0,20690.0,104.0,,
Population 182,282161.0,2050.0,,,
Population 183,259811.0,2396.0,5.0,,
Population 184,592759.0,48668.0,137.0,,
Population 185,254281.0,350549.0,1216.0,3.0,
Population 186,202462.0,1974.0,1.0,,
Population 187,400225.0,25091.0,37.0,,
Population 188,290219.0,1238.0,1.0,,
Population 189,938671.0,52744.0,416.0,,
Population 190,674319.0,33509.0,177.0,,
Population 191,574574.0,16626.0,92.0,,
Population 192,207593.0,1436.0,,,
Population 193,647568.0,11062.0,25.0,,
Population 194,143431.0,137550.0,1013.0,,
Population 195,208062.0,3573.0,8.0,,
Population 196,978421.0,10278.0,13.0,,
Population 197,208652.0,26432.0,96.0,,
Population 198,380948.0,15930.0,122.0,,
Population 199,213391.0,5433.0,13.0,,
Population 200,173468.0,708.0,6.0,,
Population 201,104308.0,289845.0,1043.0,,
Population 202,811703.0,20578.0,57.0,,
Population 203,788580.0,33418.0,223.0,,
Population 204,252193.0,2104.0,27.0,,
Population 205,922316.0,15466.0,236.0,,
Population 206,923888.0,13018.0,9.0,,
Population 207,441955.0,59003.0,333.0,,
Population 208,699355.0,10241.0,7.0,,
Population 209,937194.0,62333.0,416.0,,
Population 210,324426.0,3940.0,17.0,,
Population 211,207364.0,363023.0,5084.0,7.0,
Population 212,356638.0,6655.0,54.0,,
Population 213,656186.0,11521.0,332.0,,
Population 214,316203.0,3740.0,6.0,,
Population 215,123011.0,13228.0,47.0,,
Population 216,180735.0,5905.0,8.0,,
Population 217,421635.0,8459.0,2.0,,
Population 218,292088.0,16132.0,51.0,,
Population 219,295256.0,5681.0,13.0,,
Population 220,983969.0,15588.0,41.0,,
Population 221,515936.0,111267.0,311.0,,
Population 222,835033.0,103117.0,317.0,1.0,
Population 223,116394.0,1650.0,,,
Population 224,790325.0,37821.0,173.0,,
Population 225,909896.0,11882.0,58.0,,
Population 226,901524.0,12932.0,38.0,,
Population 227,837054.0,37707.0,199.0,,
Population 228,388180.0,17507.0,36.0,,
Population 229,77975.0,1858.0,11.0,,
Population 230,937504.0,15449.0,18.0,,
Population 231,820697.0,93139.0,10961.0,210.0,
Population 232,711401.0,36944.0,5182.0,35.0,
Population 233,189624.0,7375.0,14.0,,
Population 234,117499.0,759.0,,,
Population 235,280593.0,2854.0,62.0,,
Population 236,456609.0,10169.0,11.0,,
Population 237,358851.0,3666.0,6.0,,
Population 238,271350.0,295344.0,3971.0,9.0,
Population 239,318037.0,9393.0,57.0,,
Population 240,703076.0,5064.0,5.0,,
Population 241,928932.0,59538.0,3265.0,1.0,
Population 242,95588.0,1059.0,1.0,,
Population 243,482324.0,7037.0,16.0,,
Population 244,295729.0,597076.0,10351.0,44.0,
Population 245,101661.0,386.0,,,
Population 246,247737.0,65287.0,532.0,,
Population 247,452485.0,4287.0,8.0,,
Population 248,502408.0,6417.0,5.0,,
Population 249,349577.0,9381.0,43.0,,
Population 250,725402.0,12792.0,51.0,46.0,
Population 251,411348.0,6828.0,12.0,,
Population 252,874053.0,33287.0,488.0,,
Population 253,91969.0,736.0,,,
Population 254,626885.0,13298.0,271.0,2.0,
Population 255,382015.0,11425.0,54.0,,
Population 256,523808.0,29683.0,77.0,,
Population 257,438232.0,7099.0,125.0,3.0,
Population 258,342629.0,3319.0,122.0,,
Population 259,335276.0,6938.0,50.0,,
Population 260,453904.0,14180.0,351.0,,
Population 261,156603.0,2354.0,4.0,,
Population 262,115376.0,208925.0,1400.0,,
Population 263,292642.0,44407.0,32.0,,
Population 264,341356.0,4835.0,2.0,,
Population 265,256927.0,2611.0,6.0,4.0,
Population 266,126053.0,1218.0,,,
Population 267,458331.0,60006.0,154.0,,
Population 268,445140.0,7399.0,37.0,,
Population 269,155831.0,1428.0,9.0,,
Population 270,324307.0,5458.0,4.0,,
Population 271,734413.0,14546.0,58.0,,
Population 272,160487.0,5938.0,10.0,,
Population 273,263270.0,2505.0,,,
Population 274,58076.0,501.0,,,
Population 275,112532.0,1076.0,,,
Population 276,792471.0,18159.0,65.0,,
Population 277,651609.0,12141.0,32.0,,
Population 278,99040.0,1441.0,44.0,,
Population 279,804509.0,21497.0,42.0,,
Population 280,252679.0,7580.0,21.0,,
Population 281,206930.0,5461.0,40.0,,
Population 282,143523.0,2448.0,8.0,,
Population 283,135033.0,1958.0,,,
Population 284,139688.0,1283.0,,,
Population 285,319809.0,3375.0,3.0,,
Population 286,582306.0,12405.0,184.0,,
Population 287,468133.0,8910.0,30.0,,
Population 288,345355.0,2292.0,5.0,,
Population 289,281781.0,5464.0,15.0,,
Population 290,139888.0,1209.0,4.0,,
Population 291,194233.0,31345.0,174.0,,
Population 292,685797.0,9901.0,32.0,,
Population 293,439875.0,125123.0,1739.0,,
Population 294,190826.0,119040.0,507.0,,
Population 295,299814.0,10829.0,11.0,,
Population 296,586387.0,23759.0,74.0,,
Population 297,347966.0,13189.0,74.0,,
Population 298,235551.0,1518.0,1.0,,
Population 299,320434.0,18485.0,112.0,,
Population 300,622655.0,9771.0,74.0,,
