,1,2
Population 0,101.0,1.0
Population 1,165.0,1.0
Population 2,152.0,
Population 3,43.0,
Population 4,62.0,
Population 5,0.0,16.0
Population 6,67.0,
Population 7,29.0,
Population 8,49.0,
Population 9,68.0,
Population 10,163.0,1.0
Population 11,63.0,
Population 12,74.0,
Population 13,104.0,
Population 14,37.0,
Population 15,36.0,
Population 16,57.0,1.0
Population 17,45.0,
Population 18,40.0,
Population 19,87.0,
Population 20,48.0,
Population 21,29.0,
Population 22,29.0,
Population 23,176.0,
Population 24,34.0,
Population 25,390.0,
Population 26,58.0,
Population 27,43.0,
Population 28,79.0,
Population 29,24.0,
Population 30,44.0,
Population 31,111.0,
Population 32,18.0,
Population 33,87.0,
Population 34,58.0,
Population 35,63.0,
Population 36,67.0,
Population 37,220.0,1.0
Population 38,101.0,2.0
Population 39,207.0,
Population 40,58.0,
Population 41,33.0,
Population 42,171.0,
Population 43,80.0,1.0
Population 44,121.0,10.0
Population 45,163.0,1.0
Population 46,672.0,
Population 47,22.0,
Population 48,79.0,
Population 49,57.0,
Population 50,29.0,5.0
Population 51,49.0,
Population 52,34.0,
Population 53,27.0,
Population 54,42.0,
Population 55,54.0,
Population 56,31.0,
Population 57,45.0,
Population 58,26.0,
Population 59,19.0,
Population 60,29.0,
Population 61,92.0,
Population 62,138.0,
Population 63,20.0,
Population 64,46.0,
Population 65,34.0,
Population 66,41.0,
Population 67,110.0,
Population 68,42.0,
Population 69,28.0,
Population 70,180.0,
Population 71,41.0,
Population 72,63.0,
Population 73,32.0,4.0
Population 74,66.0,
Population 75,99.0,
Population 76,30.0,
Population 77,68.0,
Population 78,285.0,
Population 79,312.0,
Population 80,69.0,
Population 81,55.0,
Population 82,41.0,
Population 83,30.0,
Population 84,69.0,
Population 85,13078.0,41.0
Population 86,73.0,
Population 87,15.0,
Population 88,70.0,
Population 89,154.0,52.0
Population 90,33.0,
Population 91,33.0,
Population 92,98.0,
Population 93,92.0,
Population 94,547.0,
Population 95,54.0,
Population 96,59.0,
Population 97,46.0,
Population 98,118.0,
Population 99,28.0,
Population 100,68.0,
Population 101,21.0,
Population 102,53.0,
Population 103,94.0,
Population 104,30.0,
Population 105,149.0,
Population 106,47.0,
Population 107,112.0,
Population 108,46.0,
Population 109,47.0,
Population 110,57.0,
Population 111,20.0,
Population 112,32.0,
Population 113,507.0,1.0
Population 114,47.0,
Population 115,62.0,22.0
Population 116,276.0,
Population 117,67.0,
Population 118,186.0,
Population 119,30.0,
Population 120,77.0,
Population 121,70.0,
Population 122,2223.0,3.0
Population 123,95.0,
Population 124,84.0,
Population 125,64.0,
Population 126,269.0,3.0
Population 127,77.0,
Population 128,65.0,
Population 129,177.0,1.0
Population 130,187.0,
Population 131,35.0,
Population 132,59.0,
Population 133,129.0,
Population 134,13636.0,74.0
Population 135,119.0,
Population 136,127.0,
Population 137,64.0,
Population 138,106.0,
Population 139,53.0,
Population 140,121.0,
Population 141,65.0,
Population 142,87.0,
Population 143,28.0,
Population 144,256.0,
Population 145,89.0,
Population 146,230.0,
Population 147,72.0,
Population 148,51.0,
Population 149,88.0,
Population 150,51.0,
Population 151,53.0,
Population 152,66.0,
Population 153,171.0,
Population 154,59.0,
Population 155,37.0,
Population 156,264.0,
Population 157,102.0,
Population 158,43.0,
Population 159,5002.0,11.0
Population 160,230.0,10.0
Population 161,39.0,
Population 162,143.0,1.0
Population 163,79.0,
Population 164,60.0,
Population 165,3300.0,4.0
Population 166,47.0,
Population 167,21.0,
Population 168,301.0,
Population 169,144.0,
Population 170,46.0,
Population 171,373.0,
Population 172,68.0,
Population 173,34.0,
Population 174,26.0,1.0
Population 175,25.0,
Population 176,28.0,
Population 177,69.0,
Population 178,167.0,
Population 179,48.0,
Population 180,59.0,
Population 181,33.0,
Population 182,113.0,
Population 183,72.0,
Population 184,47.0,
Population 185,92.0,
Population 186,43.0,
Population 187,30.0,
Population 188,79.0,
Population 189,37.0,
Population 190,56.0,
Population 191,785.0,
Population 192,4409.0,13.0
Population 193,27.0,
Population 194,40.0,
Population 195,135.0,
Population 196,17.0,
Population 197,48.0,
Population 198,345.0,
Population 199,105.0,
Population 200,33.0,
Population 201,165.0,
Population 202,75.0,
Population 203,18.0,
Population 204,297.0,
Population 205,37.0,
Population 206,36.0,
Population 207,142.0,
Population 208,223.0,
Population 209,69.0,
Population 210,81.0,
Population 211,150.0,
Population 212,34.0,
Population 213,53.0,7.0
Population 214,31.0,
Population 215,28.0,
Population 216,23.0,
Population 217,23.0,
Population 218,119.0,1.0
Population 219,94.0,
Population 220,81.0,2.0
Population 221,58.0,
Population 222,50.0,
Population 223,856.0,
Population 224,100.0,
Population 225,46.0,
Population 226,79.0,
Population 227,34.0,
Population 228,71.0,
Population 229,58.0,
Population 230,39.0,1.0
Population 231,82.0,
Population 232,52.0,
Population 233,216.0,
Population 234,65.0,
Population 235,36.0,
Population 236,80.0,
Population 237,185.0,
Population 238,26.0,
Population 239,36.0,
Population 240,140.0,
Population 241,893.0,
Population 242,32.0,
Population 243,44.0,
Population 244,41.0,
Population 245,38.0,
Population 246,52.0,
Population 247,96.0,
Population 248,70.0,1.0
Population 249,20.0,
Population 250,373.0,1.0
Population 251,27.0,
Population 252,78.0,
Population 253,97.0,
Population 254,86.0,
Population 255,95.0,
Population 256,34.0,
Population 257,90.0,
Population 258,105.0,
Population 259,60.0,
Population 260,63.0,
Population 261,53.0,
Population 262,44.0,
Population 263,126.0,
Population 264,27.0,
Population 265,62.0,1.0
Population 266,37.0,
Population 267,164.0,
Population 268,74.0,
Population 269,29.0,
Population 270,320.0,
Population 271,44.0,
Population 272,82.0,
Population 273,28.0,
Population 274,459.0,
Population 275,91.0,3.0
Population 276,153.0,
Population 277,22.0,
Population 278,128.0,
Population 279,126.0,
Population 280,48.0,1.0
Population 281,52.0,
Population 282,2373.0,8.0
Population 283,199.0,3.0
Population 284,129.0,
Population 285,32.0,
Population 286,79.0,
Population 287,81.0,
Population 288,81.0,
Population 289,143.0,1.0
Population 290,96.0,
Population 291,45.0,4.0
Population 292,66.0,
Population 293,31.0,
Population 294,47.0,
Population 295,24.0,
Population 296,106.0,
Population 297,45.0,
Population 298,58.0,
Population 299,44.0,
Population 300,36.0,
Population 301,173.0,1.0
Population 302,40.0,
Population 303,89.0,
Population 304,32.0,
Population 305,43.0,
Population 306,111.0,
Population 307,62.0,
Population 308,92.0,
Population 309,103.0,
Population 310,92.0,
Population 311,82.0,
Population 312,149.0,
Population 313,51.0,
Population 314,210.0,
Population 315,229.0,1.0
Population 316,30.0,
Population 317,29.0,
Population 318,30.0,
Population 319,60.0,
Population 320,106.0,
Population 321,29.0,
Population 322,40.0,
Population 323,34.0,
Population 324,47.0,
Population 325,131.0,
Population 326,708.0,3.0
Population 327,94.0,
Population 328,108.0,
Population 329,100.0,
Population 330,495.0,1.0
Population 331,70.0,
Population 332,69.0,
Population 333,37.0,
Population 334,51.0,
Population 335,195.0,
Population 336,142.0,
Population 337,100.0,
Population 338,64.0,
Population 339,52.0,
Population 340,108.0,
Population 341,39.0,
Population 342,48.0,
Population 343,45.0,
Population 344,115.0,
Population 345,258.0,
Population 346,47.0,
Population 347,81.0,
Population 348,113.0,
Population 349,92.0,
Population 350,37.0,
Population 351,96.0,
Population 352,7464.0,123.0
Population 353,80.0,
Population 354,59.0,
Population 355,42.0,
Population 356,51.0,
Population 357,64.0,
Population 358,51.0,
Population 359,44.0,
Population 360,110.0,
Population 361,117.0,
Population 362,87.0,
Population 363,216.0,
Population 364,59.0,
Population 365,806.0,
Population 366,137.0,
Population 367,37.0,
Population 368,535.0,
Population 369,205.0,1.0
Population 370,20.0,
Population 371,41.0,
Population 372,68.0,
Population 373,51.0,
Population 374,60.0,
Population 375,383.0,1.0
Population 376,774.0,1.0
Population 377,125.0,11.0
Population 378,25.0,
Population 379,34.0,
Population 380,25.0,
Population 381,142.0,
Population 382,64.0,
Population 383,1612.0,4.0
Population 384,55.0,
Population 385,30.0,
Population 386,110.0,
Population 387,27.0,
Population 388,345.0,
Population 389,40.0,
Population 390,21.0,
Population 391,138.0,
Population 392,69.0,
Population 393,33.0,
Population 394,69.0,
Population 395,289.0,
Population 396,40.0,1.0
Population 397,41.0,
Population 398,83.0,
Population 399,38.0,1.0
Population 400,157.0,
Population 401,116.0,
Population 402,108.0,
Population 403,46.0,
Population 404,335.0,
Population 405,21.0,
Population 406,66.0,
Population 407,108.0,
Population 408,70.0,
Population 409,6493.0,13.0
Population 410,53.0,
Population 411,664.0,
Population 412,45.0,
Population 413,58.0,
Population 414,125.0,
Population 415,105.0,
Population 416,47.0,
Population 417,11.0,
Population 418,149.0,1.0
Population 419,177.0,
Population 420,431.0,28.0
Population 421,38.0,
Population 422,56.0,
Population 423,28.0,
Population 424,396.0,
Population 425,132.0,4.0
Population 426,61.0,
Population 427,183.0,
Population 428,65.0,
Population 429,63.0,
Population 430,48.0,
Population 431,96.0,
Population 432,83.0,
Population 433,52.0,
Population 434,19.0,
Population 435,56.0,
Population 436,93.0,
Population 437,53.0,
Population 438,3341.0,1.0
Population 439,52.0,
Population 440,21.0,
Population 441,83.0,
Population 442,103.0,
Population 443,215.0,
Population 444,107.0,
Population 445,24.0,
Population 446,186.0,2.0
Population 447,34.0,
Population 448,81.0,
Population 449,43.0,
Population 450,29.0,
Population 451,37.0,
Population 452,135.0,
Population 453,1733.0,10.0
Population 454,9384.0,16.0
Population 455,317.0,
Population 456,187.0,
Population 457,105.0,
Population 458,67.0,
Population 459,38.0,
Population 460,31.0,
Population 461,184.0,
Population 462,186.0,
Population 463,849.0,1.0
Population 464,22.0,
Population 465,62.0,
Population 466,720.0,3.0
Population 467,149.0,
Population 468,74.0,
Population 469,518.0,
Population 470,61.0,
Population 471,80.0,1.0
Population 472,61.0,
Population 473,262.0,1.0
Population 474,91.0,1.0
Population 475,71.0,
Population 476,178.0,
Population 477,58.0,
Population 478,133.0,
Population 479,196.0,
Population 480,150.0,
Population 481,53.0,2.0
Population 482,45.0,
Population 483,37.0,4.0
Population 484,3958.0,8.0
Population 485,50.0,
Population 486,168.0,
Population 487,22.0,
Population 488,1352.0,
Population 489,55.0,
Population 490,34.0,
Population 491,1140.0,1.0
Population 492,15.0,
Population 493,12177.0,20.0
Population 494,134.0,
Population 495,860.0,
Population 496,111.0,
Population 497,519.0,
Population 498,19.0,
Population 499,26.0,
Population 500,44.0,1.0
Population 501,25.0,
Population 502,27.0,
Population 503,134.0,
Population 504,790.0,
Population 505,53.0,
Population 506,33.0,
Population 507,95.0,
Population 508,24.0,
