,1,2,3
Population 0,40.0,,
Population 1,949.0,,
Population 2,3426.0,4.0,
Population 3,52.0,,
Population 4,51.0,,
Population 5,20.0,,
Population 6,2698.0,5.0,
Population 7,219.0,,
Population 8,259.0,,
Population 9,22.0,1.0,
Population 10,22.0,,
Population 11,33.0,,
Population 12,78.0,,
Population 13,72.0,,
Population 14,215.0,,
Population 15,26.0,,
Population 16,114.0,,
Population 17,71.0,,
Population 18,22.0,,
Population 19,57.0,,
Population 20,74.0,,
Population 21,42.0,,
Population 22,16.0,,
Population 23,342.0,1.0,
Population 24,7107.0,4.0,
Population 25,142.0,,
Population 26,36.0,,
Population 27,15.0,,
Population 28,103.0,,
Population 29,72.0,,
Population 30,71.0,,
Population 31,13946.0,55.0,
Population 32,1311.0,3.0,
Population 33,31.0,,
Population 34,1687.0,2.0,
Population 35,53.0,,
Population 36,4296.0,38.0,
Population 37,280.0,10.0,
Population 38,3963.0,7.0,
Population 39,6135.0,18.0,
Population 40,219.0,,
Population 41,53.0,,
Population 42,110.0,,
Population 43,53.0,,
Population 44,70.0,,
Population 45,24.0,,
Population 46,45.0,,
Population 47,57.0,,
Population 48,30.0,,
Population 49,47.0,,
Population 50,13633.0,53.0,
Population 51,51.0,,
Population 52,71.0,,
Population 53,124.0,,
Population 54,70.0,,
Population 55,320.0,,
Population 56,469.0,,
Population 57,41.0,,
Population 58,420.0,,
Population 59,40.0,,
Population 60,149.0,,
Population 61,26.0,,
Population 62,370.0,,
Population 63,3894.0,7.0,
Population 64,1617.0,2.0,
Population 65,51.0,,
Population 66,777.0,,
Population 67,168.0,,
Population 68,129.0,,
Population 69,390.0,,
Population 70,85.0,,
Population 71,81.0,,
Population 72,412.0,,
Population 73,58.0,,
Population 74,36.0,,
Population 75,44.0,,
Population 76,133.0,,
Population 77,16.0,,
Population 78,95.0,,
Population 79,75.0,,
Population 80,32.0,,
Population 81,1483.0,8.0,
Population 82,733.0,2.0,
Population 83,1717.0,1.0,
Population 84,352.0,3.0,
Population 85,15.0,,
Population 86,4170.0,5.0,
Population 87,29.0,,
Population 88,7989.0,29.0,
Population 89,41.0,,
Population 90,122.0,,
Population 91,174.0,,
Population 92,729.0,1.0,
Population 93,881.0,3.0,
Population 94,59.0,,
Population 95,119.0,,
Population 96,93.0,,
Population 97,15.0,,
Population 98,3672.0,19.0,
Population 99,1723.0,1.0,
Population 100,277.0,,
Population 101,4554.0,7.0,
Population 102,297.0,2.0,
Population 103,36.0,,
Population 104,27.0,,
Population 105,1105.0,5.0,
Population 106,221.0,1.0,
Population 107,15.0,,
Population 108,43.0,,
Population 109,10798.0,20.0,
Population 110,96.0,,
Population 111,139.0,,
Population 112,27.0,,
Population 113,1164.0,8.0,
