,1,2,3
Population 0,24.0,,
Population 1,18.0,,
Population 2,346.0,,
Population 3,4004.0,110.0,
Population 4,23.0,,
Population 5,66.0,,
Population 6,115.0,,
Population 7,198.0,1.0,
Population 8,24.0,,
Population 9,189.0,,
Population 10,49.0,,
Population 11,99.0,1.0,
Population 12,235.0,,
Population 13,70.0,,
Population 14,6751.0,4.0,
Population 15,1977.0,4.0,
Population 16,13.0,,
Population 17,355.0,1.0,
Population 18,21.0,,
Population 19,8638.0,12.0,
Population 20,29.0,,
Population 21,1041.0,1.0,
Population 22,45.0,,
Population 23,53.0,,
Population 24,1189.0,2.0,
Population 25,2979.0,22.0,
Population 26,73.0,,
Population 27,29.0,,
Population 28,34.0,,
Population 29,7952.0,20.0,
Population 30,246.0,,
Population 31,150.0,,
Population 32,1268.0,1.0,
Population 33,93.0,,
Population 34,33.0,,
Population 35,44.0,,
Population 36,9372.0,11.0,
Population 37,35.0,,
Population 38,117.0,1.0,
Population 39,477.0,,
Population 40,8721.0,8.0,
Population 41,31.0,,
Population 42,14.0,,
Population 43,97.0,,
Population 44,68.0,,
Population 45,12.0,,
Population 46,1062.0,,
Population 47,163.0,,
Population 48,30.0,,
Population 49,1894.0,1.0,
Population 50,79.0,,
Population 51,139.0,,
Population 52,18.0,,
Population 53,241.0,1.0,
Population 54,19.0,,
Population 55,30.0,,
Population 56,1547.0,1.0,
Population 57,770.0,,
Population 58,881.0,9.0,
Population 59,12004.0,21.0,
Population 60,37.0,,
Population 61,20.0,,
Population 62,7634.0,6311.0,8.0
Population 63,324.0,,
Population 64,594.0,1.0,
Population 65,13496.0,47.0,
Population 66,281.0,1.0,
Population 67,9658.0,28.0,
Population 68,34.0,,
Population 69,9220.0,11.0,
Population 70,6516.0,18.0,
Population 71,1539.0,4.0,
Population 72,45.0,,
Population 73,6.0,,
Population 74,199.0,,
Population 75,159.0,,
Population 76,1458.0,11.0,
Population 77,44.0,,
Population 78,24.0,,
Population 79,855.0,2.0,
Population 80,6893.0,6.0,
Population 81,1997.0,1.0,
Population 82,202.0,,
Population 83,16.0,,
Population 84,272.0,,
Population 85,13275.0,136.0,
Population 86,748.0,1.0,
Population 87,149.0,,
Population 88,604.0,2.0,
Population 89,60.0,,
Population 90,38.0,,
Population 91,336.0,,
Population 92,93.0,1.0,
Population 93,1430.0,,
Population 94,44.0,,
Population 95,11796.0,21.0,
Population 96,26.0,,
Population 97,1717.0,1.0,
Population 98,1199.0,1.0,
Population 99,28.0,,
Population 100,35.0,,
Population 101,103.0,,
Population 102,537.0,,
Population 103,15.0,,
Population 104,91.0,,
Population 105,4568.0,361.0,
Population 106,221.0,,
Population 107,442.0,,
Population 108,59.0,,
Population 109,5355.0,17.0,
Population 110,92.0,1.0,
Population 111,47.0,,
Population 112,1609.0,,
Population 113,13.0,,
Population 114,12577.0,1347.0,
Population 115,83.0,,
Population 116,64.0,,
Population 117,22.0,,
Population 118,37.0,,
Population 119,12554.0,41.0,
Population 120,67.0,,
Population 121,80.0,,
Population 122,48.0,,
Population 123,246.0,,
Population 124,23.0,,
Population 125,47.0,,
Population 126,52.0,,
Population 127,1514.0,2.0,
Population 128,27.0,,
Population 129,15.0,,
Population 130,18.0,,
Population 131,83.0,,
Population 132,25.0,,
Population 133,35.0,,
Population 134,28.0,,
Population 135,87.0,,
Population 136,1916.0,2.0,
Population 137,23.0,,
Population 138,378.0,2.0,
Population 139,20.0,,
Population 140,1167.0,,
Population 141,11.0,,
Population 142,3008.0,10.0,
Population 143,191.0,,
Population 144,17.0,,
Population 145,396.0,,
Population 146,13879.0,171.0,
Population 147,194.0,,
Population 148,73.0,,
Population 149,19.0,,
Population 150,13101.0,75.0,
Population 151,22.0,,
Population 152,36.0,,
Population 153,12378.0,484.0,
Population 154,13.0,,
Population 155,71.0,,
Population 156,146.0,,
Population 157,1274.0,,
Population 158,80.0,,
Population 159,99.0,,
Population 160,20.0,,
Population 161,20.0,,
Population 162,21.0,,
Population 163,81.0,,
Population 164,91.0,,
Population 165,130.0,,
Population 166,23.0,,
Population 167,28.0,,
Population 168,201.0,,
Population 169,13601.0,65.0,
Population 170,262.0,,
Population 171,74.0,,
Population 172,13212.0,39.0,
Population 173,4500.0,1.0,
Population 174,209.0,1.0,
Population 175,217.0,,
Population 176,48.0,1.0,
Population 177,11930.0,22.0,
Population 178,126.0,1.0,
Population 179,6816.0,9.0,
Population 180,662.0,,
Population 181,618.0,1.0,
Population 182,431.0,,
Population 183,65.0,,
Population 184,70.0,,
Population 185,67.0,,
Population 186,199.0,,
Population 187,28.0,,
Population 188,49.0,,
Population 189,368.0,1.0,
Population 190,27.0,,
Population 191,296.0,,
Population 192,364.0,,
Population 193,48.0,,
Population 194,222.0,5.0,
Population 195,68.0,,
Population 196,19.0,,
Population 197,20.0,,
Population 198,10.0,,
Population 199,30.0,,
Population 200,253.0,,
Population 201,23.0,,
Population 202,14041.0,28.0,
Population 203,86.0,,
Population 204,477.0,,
Population 205,18.0,,
Population 206,10447.0,13.0,
Population 207,8370.0,20.0,
Population 208,26.0,,
Population 209,1119.0,,
Population 210,34.0,,
Population 211,45.0,,
Population 212,8812.0,11.0,
Population 213,74.0,,
Population 214,18.0,,
Population 215,23.0,,
Population 216,286.0,,
Population 217,35.0,,
Population 218,54.0,,
Population 219,91.0,,
Population 220,97.0,,
Population 221,2637.0,8.0,
Population 222,24.0,,
Population 223,13.0,,
Population 224,136.0,1.0,
Population 225,37.0,,
Population 226,189.0,,
Population 227,77.0,,
Population 228,44.0,,
Population 229,215.0,,
Population 230,735.0,,
Population 231,1972.0,359.0,1.0
Population 232,245.0,,
Population 233,220.0,,
Population 234,27.0,,
Population 235,55.0,,
Population 236,17.0,,
Population 237,47.0,,
Population 238,2223.0,3.0,
Population 239,71.0,,
Population 240,13176.0,48.0,
Population 241,285.0,,
Population 242,212.0,,
Population 243,18.0,,
Population 244,92.0,,
Population 245,101.0,,
Population 246,902.0,1.0,
Population 247,7483.0,20.0,
Population 248,30.0,,
Population 249,94.0,,
Population 250,3853.0,3.0,
Population 251,33.0,,
Population 252,51.0,,
Population 253,453.0,,
Population 254,88.0,,
Population 255,431.0,,
Population 256,28.0,,
Population 257,22.0,,
Population 258,187.0,,
Population 259,52.0,,
Population 260,8291.0,8.0,
Population 261,35.0,,
Population 262,20.0,,
Population 263,114.0,,
Population 264,23.0,,
Population 265,11.0,,
Population 266,28.0,,
Population 267,2609.0,9.0,
Population 268,4077.0,9.0,
Population 269,93.0,,
Population 270,42.0,,
Population 271,51.0,,
Population 272,14.0,,
Population 273,36.0,,
Population 274,334.0,,
Population 275,23.0,,
Population 276,247.0,1.0,
Population 277,31.0,,
Population 278,90.0,,
Population 279,20.0,,
Population 280,14.0,,
Population 281,1095.0,6.0,
Population 282,33.0,,
Population 283,35.0,,
Population 284,8312.0,12.0,
Population 285,32.0,,
Population 286,5972.0,11.0,
Population 287,22.0,1.0,
Population 288,50.0,,
Population 289,61.0,,
Population 290,1569.0,3.0,
Population 291,186.0,,
Population 292,12503.0,1078.0,1.0
Population 293,13893.0,12.0,
Population 294,15.0,,
Population 295,11.0,,
Population 296,560.0,2.0,
Population 297,46.0,,
Population 298,17.0,,
Population 299,9.0,,
Population 300,937.0,,
Population 301,37.0,,
Population 302,163.0,,
Population 303,17.0,,
Population 304,1571.0,1.0,
Population 305,1829.0,11.0,
Population 306,125.0,,
Population 307,30.0,,
Population 308,1665.0,2.0,
Population 309,45.0,,
Population 310,36.0,,
Population 311,24.0,,
Population 312,770.0,3.0,
Population 313,29.0,,
Population 314,50.0,1.0,
Population 315,14.0,,
Population 316,32.0,,
Population 317,173.0,,
Population 318,126.0,,
Population 319,615.0,,
Population 320,24.0,1.0,
Population 321,63.0,,
Population 322,40.0,,
Population 323,12589.0,1292.0,51.0
Population 324,6621.0,3.0,
Population 325,6584.0,4.0,
Population 326,54.0,,
Population 327,908.0,2.0,
Population 328,255.0,,
Population 329,19.0,,
Population 330,4556.0,82.0,
Population 331,68.0,,
Population 332,105.0,,
Population 333,8142.0,8.0,
Population 334,9.0,,
Population 335,12.0,,
Population 336,20.0,,
Population 337,30.0,,
Population 338,55.0,,
Population 339,316.0,6.0,
Population 340,50.0,,
Population 341,13223.0,34.0,
Population 342,1015.0,,
Population 343,18.0,,
Population 344,8750.0,20.0,
Population 345,26.0,,
Population 346,6404.0,7.0,
Population 347,35.0,,
Population 348,38.0,,
Population 349,23.0,,
Population 350,29.0,,
Population 351,96.0,,
Population 352,143.0,59.0,
Population 353,173.0,,
Population 354,27.0,,
Population 355,51.0,,
Population 356,947.0,,
Population 357,139.0,,
Population 358,662.0,,
Population 359,19.0,,
Population 360,141.0,1.0,
Population 361,30.0,,
Population 362,65.0,,
Population 363,21.0,,
Population 364,31.0,,
Population 365,25.0,,
Population 366,183.0,,
Population 367,15.0,,
Population 368,26.0,,
Population 369,798.0,8.0,
Population 370,31.0,,
Population 371,22.0,,
Population 372,390.0,,
Population 373,7855.0,30.0,
Population 374,55.0,,
Population 375,194.0,,
Population 376,25.0,,
Population 377,37.0,,
Population 378,123.0,,
Population 379,19.0,,
Population 380,61.0,,
Population 381,480.0,3.0,
Population 382,137.0,,
Population 383,29.0,,
Population 384,107.0,,
Population 385,110.0,,
Population 386,254.0,,
Population 387,29.0,,
Population 388,158.0,,
Population 389,73.0,,
Population 390,56.0,,
