,1,2,3,4,5
Population 0,4440202.0,39534.0,,,
Population 1,2713000.0,23269.0,,,
Population 2,3248355.0,106583.0,278.0,,
Population 3,5092695.0,50314.0,,,
Population 4,16064482.0,293301.0,1797.0,,
Population 5,28739716.0,1669734.0,4658.0,,
Population 6,6586384.0,22693.0,,,
Population 7,7959478.0,107578.0,,,
Population 8,2669283.0,12406.0,,,
Population 9,3632724.0,31787.0,248.0,,
Population 10,3549556.0,28567.0,,,
Population 11,13738343.0,59512.0,1445.0,,
Population 12,7899239.0,131669.0,155.0,,
Population 13,2526116.0,17732.0,,,
Population 14,7738957.0,56915.0,,,
Population 15,7487598.0,41579.0,,,
Population 16,16198775.0,174817.0,,,
Population 17,5296319.0,294088.0,,,
Population 18,32135334.0,138121.0,234.0,,
Population 19,2348113.0,17950.0,,,
Population 20,7420970.0,88338.0,,,
Population 21,7793306.0,95261.0,,,
Population 22,4213417.0,21395.0,424.0,,
Population 23,7319966.0,34450.0,,,
Population 24,4354848.0,17307.0,,,
Population 25,3749070.0,134737.0,570.0,,
Population 26,9098770.0,57446.0,,,
Population 27,9176598.0,888861.0,400.0,,
Population 28,5115773.0,22505.0,,,
Population 29,4196053.0,78058.0,,,
Population 30,3927711.0,27865.0,,,
Population 31,8736505.0,68427.0,,,
Population 32,3923418.0,260387.0,565.0,,
Population 33,1900830.0,20280.0,,,
Population 34,3288294.0,25726.0,,,
Population 35,33318257.0,614160.0,3268.0,,
Population 36,8299760.0,44981.0,120.0,,
Population 37,7117920.0,147099.0,,,
Population 38,3885599.0,27047.0,,,
Population 39,9885574.0,62499.0,,,
Population 40,6022955.0,57934.0,117.0,,
Population 41,6392646.0,195606.0,305.0,,
Population 42,2461467.0,16254.0,565.0,,
Population 43,4223884.0,13353.0,,,
Population 44,21198544.0,211333.0,4110.0,,
Population 45,3244509.0,11711.0,,,
Population 46,3738297.0,24273.0,,,
Population 47,2493534.0,13140.0,,,
Population 48,3819228.0,14018.0,,,
Population 49,4869925.0,37533.0,170.0,,
Population 50,112898547.0,1531550.0,5585.0,,
Population 51,3110281.0,12193.0,,,
Population 52,4347404.0,26217.0,,,
Population 53,5352201.0,777835.0,2470.0,,
Population 54,5203732.0,30902.0,,,
Population 55,4895179.0,21402.0,,,
Population 56,5608486.0,108585.0,667.0,,
Population 57,2925576.0,14062.0,564.0,,
Population 58,6567057.0,24136.0,,,
Population 59,3072616.0,11506.0,,,
Population 60,5595621.0,265581.0,504.0,,
