,1,2,3,4,5,6
Population 0,0.0,96857032.0,18517040.0,250027.0,423.0,
Population 1,98762689.0,16547245.0,519358.0,1556.0,,
Population 2,67534985.0,47719983.0,624618.0,882.0,,
Population 3,29607713.0,83601079.0,2654669.0,4094.0,,
Population 4,88286834.0,27105045.0,459984.0,1347.0,,
Population 5,107643813.0,7906783.0,283086.0,865.0,,
Population 6,11077384.0,103559328.0,1236529.0,2169.0,,
Population 7,75676636.0,38572651.0,1626177.0,3058.0,,
Population 8,25165847.0,88662484.0,2067859.0,2443.0,,
Population 9,46862499.0,27306634.0,40850957.0,841162.0,3981.0,
Population 10,47834469.0,67443247.0,615441.0,608.0,,
Population 11,69912312.0,45685018.0,289313.0,,,
Population 12,10900970.0,101114215.0,3841251.0,30769.0,,
Population 13,101319215.0,14180496.0,150749.0,,,
Population 14,17935938.0,86765235.0,11103796.0,83526.0,,
Population 15,74724150.0,38636927.0,2495188.0,8621.0,,
Population 16,87816955.0,27834289.0,193233.0,,,
Population 17,23324391.0,88480354.0,4083970.0,12673.0,,
Population 18,15327391.0,98394299.0,2168531.0,10237.0,,
Population 19,3718325.0,88104116.0,23901185.0,151012.0,,
Population 20,89449552.0,25269140.0,1106052.0,4968.0,,
Population 21,9471278.0,103950633.0,2474229.0,13765.0,,
Population 22,96284352.0,19442931.0,121255.0,764.0,,
Population 23,16471294.0,97204040.0,2195272.0,8958.0,,
Population 24,83956076.0,29369325.0,2501011.0,5281.0,113.0,
Population 25,3306154.0,106747534.0,5805646.0,12206.0,,
Population 26,29906655.0,82189511.0,3788847.0,10188.0,,
Population 27,81375450.0,34094905.0,321217.0,4307.0,,
Population 28,7491166.0,105864821.0,2377916.0,3843.0,,
Population 29,66548192.0,48645575.0,659787.0,223.0,,
Population 30,3977763.0,106228849.0,5643765.0,34539.0,,
Population 31,108249611.0,7567780.0,23027.0,,,
Population 32,0.0,64519042.0,47000724.0,3105284.0,28017.0,
Population 33,112882379.0,2816800.0,17268.0,,,
Population 34,29127921.0,86399728.0,388655.0,1487.0,,
Population 35,9318894.0,103685992.0,2724986.0,13756.0,,
