,1,2,3
Population 0,1427095.0,8358.0,
Population 1,944119.0,1962.0,
Population 2,1378001.0,49430.0,313.0
Population 3,1649653.0,2961.0,
Population 4,4009975.0,26128.0,
Population 5,1202762.0,2649.0,
Population 6,1000915.0,14304.0,
Population 7,833024.0,2068.0,
Population 8,1576024.0,8512.0,
Population 9,1535838.0,8555.0,
Population 10,754330.0,1078.0,
Population 11,906841.0,1526.0,
Population 12,1947105.0,7369.0,494.0
Population 13,1331406.0,3259.0,
Population 14,5395231.0,32499.0,152.0
Population 15,1637451.0,15710.0,
Population 16,928011.0,3155.0,
Population 17,893937.0,3720.0,
Population 18,1259780.0,7452.0,
Population 19,975353.0,5943.0,
Population 20,793890.0,651.0,
Population 21,3094742.0,15311.0,
Population 22,990523.0,2017.0,
Population 23,701735.0,1193.0,
Population 24,1034469.0,2797.0,
Population 25,1789391.0,5857.0,
Population 26,954773.0,3730.0,
Population 27,1085147.0,1567.0,
Population 28,1026201.0,2610.0,
Population 29,2243451.0,15016.0,
Population 30,1419598.0,2341.0,
Population 31,6686253.0,33259.0,
Population 32,3627028.0,9821.0,
Population 33,1108360.0,3501.0,
Population 34,1340042.0,5914.0,292.0
Population 35,1182208.0,3186.0,
Population 36,1284934.0,6044.0,
Population 37,1842101.0,10211.0,105.0
Population 38,1136263.0,3994.0,
Population 39,1141873.0,5430.0,
Population 40,954802.0,1793.0,
Population 41,3477643.0,14863.0,
Population 42,13554574.0,138186.0,
Population 43,1630614.0,5475.0,
Population 44,1100980.0,10314.0,
Population 45,1084092.0,12072.0,295.0
Population 46,2461361.0,10153.0,104.0
Population 47,1471146.0,4260.0,
Population 48,973685.0,3294.0,
Population 49,879798.0,6278.0,
Population 50,900620.0,875.0,
Population 51,892426.0,1078.0,
Population 52,959207.0,1412.0,
Population 53,1351675.0,2208.0,
Population 54,807073.0,5792.0,
Population 55,1278759.0,3894.0,
Population 56,1047580.0,5352.0,
Population 57,1293666.0,1876.0,
Population 58,1159326.0,5956.0,
Population 59,1489196.0,15480.0,
Population 60,980902.0,1382.0,
Population 61,1800672.0,21031.0,
Population 62,1230018.0,9893.0,
Population 63,995172.0,2303.0,
Population 64,1755706.0,5099.0,
Population 65,945508.0,2325.0,
Population 66,1261194.0,3992.0,
Population 67,1981897.0,11902.0,5389.0
Population 68,935356.0,3097.0,
Population 69,1034157.0,1844.0,
Population 70,888518.0,2301.0,
Population 71,1056139.0,4503.0,
Population 72,15685161.0,133268.0,430.0
Population 73,1073263.0,1790.0,
Population 74,1052969.0,2337.0,
Population 75,1285391.0,2399.0,
Population 76,2778970.0,10773.0,
Population 77,1236868.0,3785.0,
Population 78,719052.0,1832.0,
Population 79,1613350.0,17245.0,
Population 80,1801564.0,5073.0,
Population 81,1771556.0,2916.0,
Population 82,948660.0,3881.0,133.0
Population 83,7075047.0,53763.0,595.0
Population 84,3178382.0,84314.0,
Population 85,1371738.0,25714.0,
Population 86,1859898.0,151721.0,441.0
Population 87,934283.0,1931.0,
Population 88,1123464.0,5439.0,
Population 89,1568829.0,4151.0,
Population 90,1673064.0,6979.0,
Population 91,815966.0,1180.0,
Population 92,2792658.0,11607.0,
Population 93,991598.0,4936.0,
Population 94,928368.0,2594.0,
Population 95,829860.0,1123.0,
Population 96,718231.0,792.0,
Population 97,702321.0,1055.0,
Population 98,1265070.0,4913.0,
Population 99,1049842.0,6777.0,
