,1,2,3,4,5
Population 0,100112952.0,12430720.0,1190051.0,25639.0,
Population 1,95380223.0,10837178.0,28355.0,108.0,
Population 2,104112524.0,965514.0,11065.0,140.0,
Population 3,105902994.0,4108954.0,17817.0,,
Population 4,58966849.0,2473472.0,6743.0,,
Population 5,101267606.0,1815817.0,6996.0,,
Population 6,72216960.0,1390974.0,21754.0,,
Population 7,67892537.0,1519832.0,186433.0,,
Population 8,97858023.0,1081385.0,1944.0,,
Population 9,77638989.0,7729319.0,34529.0,,
Population 10,44690441.0,63718198.0,1136577.0,9507.0,
Population 11,86455764.0,845669.0,6623.0,,
Population 12,68079430.0,1529757.0,13371.0,,
Population 13,81220232.0,1022960.0,11299.0,,
Population 14,98362458.0,9558901.0,43927.0,,
Population 15,105004873.0,1443663.0,2651.0,,
Population 16,110461175.0,4089290.0,67320.0,,
Population 17,77467986.0,873240.0,1267.0,,
Population 18,104861079.0,8666667.0,40456.0,123.0,
Population 19,107536227.0,3001141.0,30259.0,,
Population 20,50722889.0,16686373.0,80728.0,,
Population 21,41898492.0,54534594.0,1304769.0,3010.0,
Population 22,101106955.0,2485100.0,32349.0,,
Population 23,81195103.0,3315656.0,20951.0,,
Population 24,88924642.0,25720679.0,244113.0,257.0,
Population 25,93686877.0,1816649.0,7380.0,,
Population 26,58777251.0,3077956.0,10232.0,,
Population 27,103896320.0,2420010.0,2898.0,,
Population 28,92480929.0,3005745.0,26837.0,,
Population 29,95432303.0,624575.0,6196.0,,
Population 30,4757722.0,92034872.0,493057.0,25919.0,
Population 31,45312299.0,3894864.0,27068.0,,
Population 32,64318678.0,5163638.0,8367.0,,
Population 33,76789585.0,9061933.0,54740.0,,
Population 34,98533233.0,3067386.0,9750.0,,
Population 35,96799620.0,15695953.0,60000.0,,
Population 36,105190354.0,4632050.0,30774.0,,
Population 37,88375299.0,1833067.0,9706.0,,
Population 38,82232832.0,8174344.0,68574.0,411.0,
Population 39,101578126.0,2170856.0,6877.0,,
Population 40,94284235.0,20897020.0,447742.0,51816.0,
Population 41,95166706.0,2085937.0,2768.0,,
Population 42,93629709.0,9679992.0,102616.0,288.0,
Population 43,93052001.0,768311.0,1621.0,,
Population 44,101112092.0,8500126.0,51558.0,,
Population 45,113996436.0,1276120.0,4638.0,,
Population 46,108866915.0,1945648.0,4749.0,356.0,
Population 47,82333198.0,3721924.0,7061.0,,
Population 48,74450708.0,23289765.0,180938.0,606.0,
Population 49,96454896.0,7719541.0,32929.0,126.0,
Population 50,112887715.0,1722077.0,28634.0,,
Population 51,98392670.0,1512657.0,247716.0,608.0,
Population 52,112064203.0,3279402.0,25124.0,,
Population 53,91919048.0,3968691.0,12300.0,,
Population 54,66262164.0,14861480.0,34299503.0,136519.0,
Population 55,78525251.0,1946738.0,4388.0,,
Population 56,103653832.0,10325725.0,320244.0,996.0,
Population 57,89659369.0,935720.0,8059.0,,
Population 58,100515810.0,12654101.0,796178.0,706507.0,2002.0
Population 59,18341511.0,717746.0,10623.0,,
Population 60,68795775.0,2060196.0,3306.0,,
Population 61,80044761.0,1538589.0,4417.0,,
Population 62,94657681.0,6320164.0,169327.0,,
Population 63,105615246.0,9081956.0,177096.0,307.0,
Population 64,27933318.0,86585294.0,432955.0,1058.0,
Population 65,99023280.0,15495943.0,226113.0,581.0,
Population 66,63033154.0,19486400.0,2543437.0,17631.0,
Population 67,88274840.0,3332991.0,4472.0,,
Population 68,57866063.0,51906706.0,204882.0,332.0,
Population 69,94160684.0,9524837.0,86299.0,311.0,
Population 70,69392166.0,1220218.0,1359.0,,
Population 71,61244152.0,31661589.0,303432.0,1227.0,
Population 72,95147549.0,1319512.0,2814.0,,
Population 73,88811938.0,1705885.0,6885.0,,
Population 74,76707906.0,850545.0,1926.0,,
Population 75,98803407.0,5622184.0,48817.0,,
Population 76,79897284.0,1011584.0,1094.0,,
Population 77,67388182.0,2546082.0,3940.0,,
Population 78,103954521.0,11014164.0,112780.0,,
Population 79,77890031.0,36727708.0,274102.0,104.0,
Population 80,73316457.0,1278222.0,4283.0,,
Population 81,111361398.0,1220742.0,3096.0,,
Population 82,108330609.0,1428218.0,1980.0,,
Population 83,50974579.0,22295151.0,354610.0,102.0,
Population 84,100671491.0,1711851.0,965.0,,
Population 85,55556923.0,53069010.0,1108461.0,748.0,
Population 86,75415533.0,1699156.0,8220.0,,
Population 87,84361140.0,8712293.0,43498.0,285.0,
Population 88,88163250.0,3245502.0,137032.0,238.0,
Population 89,83723882.0,3800021.0,8330.0,,
Population 90,15823280.0,80929466.0,651007.0,1132.0,
Population 91,102081474.0,9744794.0,61488.0,,
Population 92,109044058.0,1272597.0,2283.0,,
Population 93,79085017.0,3379603.0,23564.0,281.0,
Population 94,97555722.0,1460303.0,3521.0,,
Population 95,91503894.0,1053073.0,767.0,,
Population 96,108525527.0,7131126.0,76843.0,109.0,
Population 97,103440681.0,11899520.0,257046.0,,
Population 98,107105239.0,2652893.0,20711.0,,
Population 99,97055456.0,1190948.0,3732.0,,
