,1,2,3,4
Population 0,8692.0,6.0,,
Population 1,7962.0,33.0,,
Population 2,12070.0,37.0,,
Population 3,34512.0,88.0,,
Population 4,11964.0,37.0,,
Population 5,11819.0,18.0,,
Population 6,15566.0,88.0,,
Population 7,12770.0,110.0,,
Population 8,14465.0,231.0,,
Population 9,7953.0,12.0,,
Population 10,16450.0,43.0,,
Population 11,39590.0,168.0,2.0,
Population 12,10369.0,33.0,,
Population 13,20921.0,140.0,,
Population 14,9000.0,31.0,,
Population 15,15160.0,23.0,,
Population 16,48427.0,277.0,5.0,
Population 17,7528.0,38.0,,
Population 18,14407.0,51.0,,
Population 19,18399.0,82.0,,
Population 20,6994.0,46.0,,
Population 21,10831.0,36.0,1.0,
Population 22,196358.0,3332.0,1.0,
Population 23,8139.0,9.0,,
Population 24,8204.0,12.0,,
Population 25,11708.0,32.0,,
Population 26,15691.0,223.0,,
Population 27,5856.0,6.0,,
Population 28,11181.0,34.0,,
Population 29,6352.0,13.0,,
Population 30,28975.0,65.0,,
Population 31,8340.0,149.0,,
Population 32,8686.0,7.0,,
Population 33,12036.0,26.0,,
Population 34,8226.0,14.0,,
Population 35,9781.0,1142.0,,
Population 36,32379.0,104.0,,
Population 37,15247.0,59.0,,
Population 38,17375.0,74.0,,
Population 39,9671.0,17.0,,
Population 40,31255.0,87.0,,
Population 41,7056.0,42.0,,
Population 42,9718.0,55.0,,
Population 43,12165.0,33.0,,
Population 44,8285.0,20.0,,
Population 45,7871.0,17.0,,
Population 46,10155.0,22.0,,
Population 47,17595.0,40.0,,
Population 48,9973.0,10.0,,
Population 49,11380.0,34.0,,
Population 50,9393.0,27.0,,
Population 51,16466.0,18.0,,
Population 52,7946.0,53.0,,
Population 53,8300.0,8.0,,
Population 54,12794.0,21.0,,
Population 55,8363.0,8.0,,
Population 56,9895.0,11.0,,
Population 57,11291.0,83.0,,
Population 58,8783.0,17.0,,
Population 59,9139.0,21.0,,
Population 60,11923.0,36.0,,
Population 61,15407.0,60.0,,
Population 62,11392.0,41.0,,
Population 63,21043.0,79.0,3.0,
Population 64,9894.0,14.0,,
Population 65,38604.0,384.0,,
Population 66,12525.0,57.0,,
Population 67,7438.0,23.0,,
Population 68,13263.0,68.0,,
Population 69,8918.0,27.0,,
Population 70,7973.0,38.0,,
Population 71,15912.0,67.0,,
Population 72,9365.0,27.0,1.0,
Population 73,14077.0,21.0,,
Population 74,8059.0,16.0,,
Population 75,25772.0,88.0,,
Population 76,69328.0,279.0,16.0,
Population 77,9972.0,17.0,,
Population 78,49802.0,241.0,6.0,
Population 79,7768.0,43.0,,
Population 80,11033.0,24.0,,
Population 81,28760.0,100.0,,
Population 82,12426.0,22.0,,
Population 83,11265.0,29.0,3.0,
Population 84,8193.0,10.0,,
Population 85,11345.0,52.0,,
Population 86,20598.0,85.0,,
Population 87,8413.0,19.0,,
Population 88,10775.0,42.0,,
Population 89,9209.0,24.0,,
Population 90,17256.0,99.0,,
Population 91,12197.0,26.0,,
Population 92,8347.0,30.0,,
Population 93,8742.0,46.0,,
Population 94,8208.0,93.0,,
Population 95,24800.0,67.0,,
Population 96,8059.0,84.0,,
Population 97,8784.0,7.0,,
Population 98,8168.0,,,
Population 99,6012.0,30.0,,
Population 100,8233.0,17.0,,
Population 101,53632.0,311.0,,
Population 102,7706.0,20.0,,
Population 103,16647.0,28.0,,
Population 104,32634.0,391.0,,
Population 105,14409.0,19.0,,
Population 106,30380.0,245.0,,
Population 107,17689.0,42.0,,
Population 108,17821.0,99.0,,
Population 109,16517.0,171.0,,
Population 110,12180.0,29.0,,
Population 111,10546.0,95.0,,
Population 112,7225.0,13.0,,
Population 113,15751.0,106.0,,
Population 114,32746.0,147.0,,
Population 115,8251.0,14.0,,
Population 116,12826.0,53.0,,
Population 117,23154.0,924.0,,
Population 118,13493.0,34.0,,
Population 119,15861.0,67.0,,
Population 120,7552.0,19.0,,
Population 121,8604.0,23.0,,
Population 122,9901.0,62.0,,
Population 123,9305.0,3.0,,
Population 124,10629.0,62.0,,
Population 125,11584.0,52.0,,
Population 126,6540.0,50.0,,
Population 127,20690.0,57.0,,
Population 128,15025.0,42.0,,
Population 129,9215.0,24.0,,
Population 130,7970.0,15.0,,
Population 131,6744.0,11.0,,
Population 132,10538.0,13.0,,
Population 133,8903.0,18.0,,
Population 134,8744.0,5.0,,
Population 135,7316.0,7.0,,
Population 136,11682.0,134.0,,
Population 137,14659.0,131.0,,
Population 138,22449.0,111.0,,
Population 139,9380.0,19.0,,
Population 140,6805.0,17.0,,
Population 141,13074.0,53.0,,
Population 142,7518.0,58.0,,
Population 143,6888.0,19.0,,
Population 144,27826.0,110.0,,
Population 145,7342.0,24.0,,
Population 146,5649.0,29.0,,
Population 147,12877.0,80.0,,
Population 148,24829.0,52.0,,
Population 149,6783.0,21.0,,
Population 150,8920.0,16.0,,
Population 151,21704.0,46.0,,
Population 152,10098.0,25.0,,
Population 153,9377.0,62.0,,
Population 154,7435.0,38.0,,
Population 155,7268.0,22.0,,
Population 156,10329.0,23.0,,
Population 157,9407.0,50.0,,
Population 158,49223.0,284.0,,
Population 159,10378.0,9.0,,
Population 160,12721.0,53.0,,
Population 161,18200.0,339.0,,
Population 162,25721.0,71.0,,
Population 163,11830.0,22.0,,
Population 164,6439.0,22.0,,
Population 165,9184.0,22.0,,
Population 166,6879.0,1.0,,
Population 167,12916.0,23.0,,
Population 168,10733.0,34.0,,
Population 169,7808.0,8.0,1.0,
Population 170,14267.0,137.0,2.0,
Population 171,13108.0,83.0,,
Population 172,17036.0,249.0,,
Population 173,8236.0,9.0,,
Population 174,18301.0,67.0,,
Population 175,8575.0,29.0,,
Population 176,8726.0,42.0,,
Population 177,33457.0,171.0,,
Population 178,8312.0,62.0,,
Population 179,11740.0,174.0,,
Population 180,8829.0,51.0,,
Population 181,8981.0,22.0,,
Population 182,6477.0,18.0,5.0,
Population 183,7644.0,24.0,,
Population 184,6799.0,25.0,,
Population 185,7889.0,32.0,,
Population 186,6869.0,77.0,,
Population 187,6830.0,42.0,,
Population 188,19898.0,278.0,,
Population 189,10954.0,36.0,,
Population 190,23910.0,404.0,,
Population 191,25904.0,84.0,,
Population 192,21309.0,1292.0,5.0,
Population 193,16774.0,109.0,1.0,
Population 194,8260.0,20.0,,
Population 195,9342.0,27.0,,
Population 196,9575.0,13.0,,
Population 197,7762.0,14.0,,
Population 198,13051.0,70.0,,
Population 199,6636.0,3.0,,
Population 200,9194.0,12.0,,
Population 201,10307.0,35.0,,
Population 202,9197.0,33.0,,
Population 203,14913.0,84.0,,
Population 204,8659.0,91.0,,
Population 205,9094.0,21.0,,
Population 206,11534.0,45.0,,
Population 207,9306.0,33.0,,
Population 208,8707.0,17.0,,
Population 209,8269.0,20.0,,
Population 210,7594.0,44.0,,
Population 211,14426.0,59.0,,
Population 212,28872.0,101.0,,
Population 213,7538.0,37.0,,
Population 214,16179.0,83.0,,
Population 215,33006.0,292.0,,
Population 216,45906.0,207.0,,
Population 217,7889.0,31.0,,
Population 218,12081.0,46.0,,
Population 219,6396.0,5.0,,
Population 220,8845.0,34.0,,
Population 221,15102.0,27.0,,
Population 222,10678.0,26.0,,
Population 223,12179.0,27.0,,
Population 224,7188.0,69.0,,
Population 225,7386.0,5.0,,
Population 226,10218.0,32.0,,
Population 227,10371.0,247.0,,
Population 228,13317.0,93.0,,
Population 229,12279.0,40.0,,
Population 230,7313.0,15.0,,
Population 231,7672.0,7.0,,
Population 232,9344.0,13.0,,
Population 233,14224.0,147.0,,
Population 234,10160.0,32.0,,
Population 235,11353.0,20.0,,
Population 236,10620.0,19.0,,
Population 237,10891.0,10.0,,
Population 238,6852.0,10.0,,
Population 239,322900.0,3177.0,30.0,
