,1,2,3,4,5
Population 0,732300.0,3581.0,12.0,,
Population 1,80455.0,355.0,,,
Population 2,441752.0,49703.0,483.0,4.0,
Population 3,321268.0,73864.0,575.0,,
Population 4,135253.0,840.0,,,
Population 5,503252.0,4785.0,25.0,,
Population 6,114540.0,2373.0,,,
Population 7,124489.0,583.0,,,
Population 8,85051.0,1283.0,,,
Population 9,101115.0,1864.0,2.0,,
Population 10,83823.0,6323.0,3.0,,
Population 11,117295.0,1413.0,1.0,,
Population 12,76067.0,228.0,,,
Population 13,136343.0,1326.0,21.0,2.0,
Population 14,407410.0,4059.0,9.0,,
Population 15,356124.0,9579.0,5.0,,
Population 16,482367.0,21101.0,93.0,,
Population 17,699200.0,18675.0,95.0,,
Population 18,249749.0,2230.0,8.0,,
Population 19,525159.0,19600.0,127.0,,
Population 20,865062.0,15102.0,231.0,,
Population 21,721828.0,23294.0,85.0,,
Population 22,61427.0,388.0,,,
Population 23,378828.0,14445.0,8.0,,
Population 24,768167.0,8279.0,32.0,,
Population 25,229149.0,3818.0,7.0,,
Population 26,60442.0,537.0,5.0,,
Population 27,563131.0,2839.0,,,
Population 28,85088.0,1242.0,,,
Population 29,956388.0,33713.0,145.0,,
Population 30,906423.0,13966.0,232.0,,
Population 31,220676.0,1998.0,9.0,,
Population 32,467481.0,5638.0,15.0,,
Population 33,442603.0,54558.0,307.0,,
Population 34,77652.0,629.0,,,
Population 35,251959.0,2942.0,7.0,,
Population 36,340868.0,21879.0,93.0,,
Population 37,125673.0,1343.0,2.0,,
Population 38,257111.0,9411.0,44.0,,
Population 39,236678.0,5085.0,7.0,,
Population 40,205412.0,3864.0,5.0,,
Population 41,99671.0,626.0,,,
Population 42,80904.0,543.0,1.0,,
Population 43,51059.0,451.0,,,
Population 44,180230.0,2197.0,,,
Population 45,433194.0,34187.0,198.0,,
Population 46,467585.0,29726.0,127.0,,
Population 47,484759.0,5300.0,10.0,,
Population 48,74911.0,471.0,,,
Population 49,299774.0,3032.0,7.0,,
Population 50,135833.0,5108.0,18.0,,
Population 51,66765.0,549.0,,,
Population 52,190350.0,4283.0,36.0,,
Population 53,99224.0,4313.0,6.0,,
Population 54,345146.0,5847.0,18.0,,
Population 55,76388.0,3164.0,7.0,,
Population 56,954670.0,12558.0,11.0,,
Population 57,371231.0,3528.0,4.0,,
Population 58,62494.0,419.0,1.0,,
Population 59,133434.0,3136.0,,,
Population 60,543560.0,15392.0,95.0,,
Population 61,62962.0,915.0,1.0,,
Population 62,183717.0,1798.0,4.0,,
Population 63,745249.0,15343.0,97.0,,
Population 64,88274.0,455.0,,,
Population 65,653340.0,4020.0,2.0,,
Population 66,44622.0,383.0,,,
Population 67,100581.0,1569.0,1.0,,
Population 68,221186.0,2389.0,3.0,,
Population 69,74390.0,682.0,1.0,,
Population 70,74040.0,3033.0,20.0,,
Population 71,129573.0,884.0,3.0,,
Population 72,173574.0,1466.0,6.0,,
Population 73,783573.0,20619.0,193.0,,
Population 74,248625.0,1489.0,,,
Population 75,182125.0,29268.0,1146.0,3.0,
Population 76,176018.0,2808.0,8.0,,
Population 77,524744.0,12520.0,37.0,,
Population 78,52490.0,231.0,5.0,,
Population 79,608195.0,13063.0,66.0,,
Population 80,13019.0,936231.0,12288.0,31.0,
Population 81,61050.0,1304.0,1.0,,
Population 82,153505.0,4805.0,7.0,,
Population 83,175280.0,1455.0,,,
Population 84,205017.0,2330.0,6.0,,
Population 85,965814.0,32443.0,627.0,,
Population 86,487723.0,10454.0,49.0,,
Population 87,92071.0,691.0,,,
Population 88,80329.0,1213.0,0.0,4.0,
Population 89,57996.0,398.0,,,
Population 90,65373.0,308.0,,,
Population 91,75449.0,751.0,3.0,,
Population 92,420424.0,17012.0,37.0,,
Population 93,80701.0,2412.0,17.0,,
Population 94,412032.0,13852.0,121.0,,
Population 95,102821.0,583589.0,7344.0,52.0,
Population 96,334096.0,8921.0,15.0,,
Population 97,70426.0,1321.0,5.0,,
Population 98,88868.0,1240.0,3.0,,
Population 99,57691.0,247.0,,,
Population 100,76156.0,789.0,,,
Population 101,108671.0,760.0,,,
Population 102,81668.0,383.0,,,
Population 103,110218.0,3483.0,3.0,,
Population 104,231809.0,5657.0,,,
Population 105,254914.0,8401.0,10.0,,
Population 106,165567.0,1754.0,,,
Population 107,97305.0,746.0,3.0,,
Population 108,74646.0,472.0,,,
Population 109,671022.0,23135.0,6939.0,56.0,
Population 110,162729.0,3508.0,2.0,,
Population 111,130723.0,5032.0,6.0,,
Population 112,61960.0,617.0,,,
Population 113,232916.0,1489.0,4.0,,
Population 114,210874.0,7161.0,338.0,1.0,
Population 115,86428.0,614.0,,,
Population 116,253891.0,2291.0,6.0,,
Population 117,396487.0,12308.0,38.0,,
Population 118,87790.0,5602.0,359.0,,
Population 119,59669.0,2850.0,6.0,,
Population 120,485779.0,79399.0,444.0,,
