,selection_0p1_MaxAFs,selection_0p1_H,selection_0p1_total_m,selection_0p1_rec_errors
0,0.7034,0.09393152984746989,1180.0,2.7796897581708357
1,0.042347,0.7207606746081521,1497.0,2.503404328839185
2,0.428801,0.39789897400568564,1463.0,2.503404328839185
3,0.34919,0.4841860343938783,1323.0,2.503404328839185
4,0.090498,0.5579639912978789,1507.0,2.503404328839185
5,0.484312,0.10577787692729879,1319.0,2.503404328839185
6,0.053374,0.7849413087839474,1515.0,2.503404328839185
7,0.060723,0.7499668789983827,1407.0,2.503404328839185
8,0.016847,0.9134353763255822,1511.0,2.332515380432408
9,0.040034,0.8270608039794349,1431.0,2.503404328839185
10,0.023405,0.884859405429964,1409.0,2.503404328839185
11,0.029805,0.8608827708870966,1495.0,2.322832083197362
12,0.023464,0.8623617032890049,1457.0,2.324269402975702
13,0.086266,0.6065065527936493,1461.0,2.503404328839185
14,0.317112,0.4022796245143977,1352.0,2.503404328839185
15,0.250947,0.5381215474457406,1398.0,2.503404328839185
16,0.417396,0.3735813956899935,1320.0,2.5572973368343845
17,0.68688,0.13171333273685049,1218.0,3.0344738215651397
18,0.178222,0.49660477287329385,1475.0,2.324269402975702
19,0.503674,0.19844279691265632,1295.0,2.5287281846376146
20,0.86855,0.060472619916572046,1217.0,2.503404328839185
21,0.636383,0.3061818220063126,1302.0,2.503404328839185
22,0.009256,0.9472125817572583,1552.0,2.503404328839185
23,0.233213,0.5995437524296152,1456.0,2.503404328839185
24,0.7358,0.11992435550822966,1125.0,3.0344738215651397
25,0.067164,0.8386550539833713,1432.0,2.503404328839185
26,0.01833,0.8976271799147099,1476.0,2.503404328839185
27,0.496242,0.23191693917557077,1166.0,2.503404328839185
28,0.041737,0.7550563330048647,1483.0,2.503404328839185
29,0.987843,0.0717296534757611,1338.0,2.2689390752021623
30,0.913426,0.04564159564730508,1164.0,2.503404328839185
31,0.082382,0.7759975424264776,1486.0,2.503404328839185
32,0.194451,0.7089218580523087,1382.0,2.503404328839185
33,0.40379,0.4761220729466573,1450.0,2.503404328839185
34,0.007655,0.9573255473249378,1511.0,2.376725091192565
35,0.196942,0.40784126086876604,1384.0,2.322832083197362
36,0.293575,0.427527410964308,1437.0,2.503404328839185
37,0.052222,0.8070021550423738,1477.0,2.503404328839185
38,0.112691,0.773492770504802,1452.0,2.503404328839185
39,0.087798,0.7245162629171098,1460.0,2.503404328839185
40,0.062455,0.8453997302003624,1438.0,2.322832083197362
41,0.058055,0.6595089706516499,1519.0,2.324269402975702
42,0.025913,0.8489321711121617,1479.0,2.3864083884276113
43,0.006991,0.9541977818323817,1495.0,2.503404328839185
44,0.129613,0.5011973347375789,1458.0,2.503404328839185
45,0.334664,0.4937042483410474,1422.0,2.503404328839185
46,0.150211,0.8017824661489757,1416.0,2.503404328839185
47,0.227362,0.6531395625705186,1315.0,2.7378695824762076
48,0.03866,0.7271087963282482,1516.0,2.503404328839185
49,0.20481,0.5192180775135666,1421.0,2.503404328839185
50,0.085472,0.6384162067806023,1490.0,2.503404328839185
51,0.010429,0.9413580107386355,1540.0,2.376725091192565
52,0.070273,0.8079122461058833,1469.0,2.503404328839185
53,0.0485,0.7693327967774782,1498.0,2.324269402975702
54,0.310084,0.24673672441911088,1414.0,2.503404328839185
55,0.020905,0.8876932914319416,1544.0,2.503404328839185
56,0.960934,0.0383151021164958,1096.0,2.324269402975702
57,0.233093,0.5617104679463979,1431.0,2.503404328839185
58,0.022965,0.8479205249655641,1506.0,2.503404328839185
59,0.095844,0.5240292238344444,1507.0,2.503404328839185
60,0.48248,0.28869242331598677,1284.0,2.503404328839185
61,0.011853,0.9145526660721438,1487.0,2.3481559389957916
62,0.15218,0.33795312246899234,1493.0,2.503404328839185
63,0.738998,0.0945818839449023,1253.0,2.503404328839185
64,0.022121,0.8871607537516165,1355.0,2.324269402975702
65,0.636453,0.07392797759044423,1090.0,3.0344738215651397
66,0.007471,0.94209866372783,1448.0,2.503404328839185
67,0.021138,0.9313902179065022,1410.0,2.503404328839185
68,0.103786,0.667263799663238,1419.0,2.4412653433872755
69,0.021,0.8540352297032906,1451.0,2.503404328839185
70,0.025762,0.8464514046255278,1507.0,2.3362126709857467
71,0.047151,0.7934601320733774,1461.0,2.503404328839185
72,0.062647,0.8392250508043051,1480.0,2.503404328839185
73,0.797923,0.0662546546153322,1198.0,2.503404328839185
74,0.087306,0.7646451357429516,1394.0,2.503404328839185
75,0.049715,0.8446412181327994,1459.0,2.503404328839185
76,0.057532,0.8209743696535702,1416.0,2.503404328839185
77,0.51248,0.1334040412784322,1257.0,2.5287281846376146
78,0.006856,0.9476459514224509,1579.0,2.503404328839185
79,0.577181,0.17245076067924703,1384.0,2.503404328839185
80,0.9496,0.05372614494785044,1088.0,2.6435526752260916
81,0.013078,0.9047773466789998,1445.0,2.503404328839185
82,0.10516,0.5594124863649459,1443.0,2.503404328839185
83,0.082036,0.7606742761497196,1531.0,2.503404328839185
84,0.08386,0.7955647905399874,1483.0,2.503404328839185
85,0.998873,0.0650906546436183,1264.0,2.2689390752021623
86,0.298371,0.5982894015606073,1362.0,2.503404328839185
87,0.030177,0.8650228399497223,1505.0,2.503404328839185
88,0.016303,0.9157322819316599,1557.0,2.503404328839185
89,0.010667,0.9311067848432438,1492.0,2.503404328839185
90,0.022172,0.8585543366992365,1500.0,2.322832083197362
91,0.022186,0.8610897596482666,1564.0,2.503404328839185
92,0.196715,0.7025593995266508,1364.0,2.503404328839185
93,0.034429,0.7973597068004358,1390.0,2.503404328839185
94,0.315652,0.466426944232609,1380.0,2.503404328839185
95,0.66869,0.28105450518431485,1059.0,3.0344738215651397
96,0.253846,0.4725540396758636,1349.0,2.503404328839185
97,0.00811,0.9491653424468053,1508.0,2.322832083197362
98,0.026829,0.8337232391823588,1516.0,2.322832083197362
99,0.012231,0.897518774364763,1453.0,2.503404328839185
100,0.013417,0.924937239413507,1526.0,2.437511575052805
101,0.041864,0.8198778149098498,1550.0,2.503404328839185
102,0.024522,0.85815838447387,1449.0,2.376725091192565
103,0.064551,0.6819893733183733,1550.0,2.503404328839185
104,0.156652,0.551965276066688,1430.0,2.503404328839185
105,0.162394,0.6070143951085128,1425.0,2.5287281846376146
106,0.053508,0.8283710966709222,1460.0,2.503404328839185
107,0.024009,0.8606234150559319,1468.0,2.503404328839185
108,0.017465,0.91152511810379,1476.0,2.503404328839185
109,0.39715,0.5841822086720568,1431.0,2.503404328839185
110,0.059013,0.7759141203146612,1466.0,2.503404328839185
111,0.050923,0.8326115115452195,1441.0,2.503404328839185
112,0.018255,0.8986961155886566,1520.0,2.503404328839185
113,0.177445,0.4232980368990097,1375.0,2.503404328839185
114,0.112399,0.6557671903623272,1409.0,2.503404328839185
115,0.024182,0.8825378396975481,1503.0,2.503404328839185
116,0.107331,0.7220151893162892,1405.0,2.503404328839185
117,0.224088,0.6536717213605703,1466.0,2.503404328839185
118,0.044591,0.7661770860123245,1454.0,2.322832083197362
119,0.014208,0.927410291509146,1660.0,2.322832083197362
120,0.54042,0.3207038790519853,1328.0,2.503404328839185
121,0.156807,0.6933613955364857,1394.0,2.503404328839185
122,0.848146,0.20420286015691413,1172.0,2.5572973368343845
