,1,2,3
Population 0,340.0,,
Population 1,94.0,,
Population 2,106.0,,
Population 3,193.0,,
Population 4,5597.0,17.0,
Population 5,69.0,,
Population 6,47.0,,
Population 7,43.0,,
Population 8,544.0,,
Population 9,39.0,,
Population 10,72.0,,
Population 11,31.0,,
Population 12,84.0,,
Population 13,87.0,,
Population 14,176.0,,
Population 15,49.0,,
Population 16,27.0,,
Population 17,276.0,,
Population 18,265.0,,
Population 19,301.0,,
Population 20,142.0,,
Population 21,242.0,,
Population 22,214.0,,
Population 23,82.0,,
Population 24,56.0,,
Population 25,38.0,,
Population 26,43.0,,
Population 27,51.0,,
Population 28,39.0,,
Population 29,38.0,,
Population 30,112.0,,
Population 31,43.0,,
Population 32,54.0,,
Population 33,79.0,3.0,
Population 34,54.0,,
Population 35,77.0,,
Population 36,40.0,,
Population 37,119.0,,
Population 38,60.0,,
Population 39,130.0,,
Population 40,60.0,,
Population 41,1539.0,4.0,
Population 42,40.0,,
Population 43,47.0,,
Population 44,42.0,1.0,
Population 45,56.0,,
Population 46,55.0,,
Population 47,67.0,,
Population 48,104.0,,
Population 49,67.0,,
Population 50,25.0,,
Population 51,48.0,,
Population 52,121.0,3.0,
Population 53,24.0,,
Population 54,146.0,,
Population 55,22.0,,
Population 56,267.0,1.0,
Population 57,66.0,1.0,
Population 58,32.0,,
Population 59,18.0,,
Population 60,90.0,,
Population 61,93.0,,
Population 62,64.0,,
Population 63,58.0,,
Population 64,39.0,,
Population 65,123.0,,
Population 66,15.0,,
Population 67,48.0,,
Population 68,75.0,,
Population 69,29.0,,
Population 70,73.0,,
Population 71,20.0,,
Population 72,36.0,,
Population 73,42.0,,
Population 74,66.0,,
Population 75,55.0,,
Population 76,20.0,,
Population 77,24.0,,
Population 78,61.0,,
Population 79,1981.0,4.0,
Population 80,243.0,,
Population 81,47.0,,
Population 82,66.0,,
Population 83,44.0,,
Population 84,169.0,,
Population 85,149.0,,
Population 86,72.0,,
Population 87,27.0,,
Population 88,41.0,,
Population 89,61.0,,
Population 90,70.0,,
Population 91,80.0,,
Population 92,74.0,,
Population 93,24.0,,
Population 94,63.0,,
Population 95,61.0,,
Population 96,159.0,,
Population 97,26.0,,
Population 98,366.0,9.0,
