,1,2
Population 0,860.0,2.0
Population 1,170.0,2.0
Population 2,112.0,
Population 3,90.0,1.0
Population 4,24.0,
Population 5,17.0,
Population 6,58.0,
Population 7,26.0,
Population 8,126.0,
Population 9,15.0,
Population 10,3033.0,6.0
Population 11,121.0,
Population 12,106.0,
Population 13,1638.0,5.0
Population 14,3530.0,4.0
Population 15,177.0,
Population 16,82.0,
Population 17,52.0,
Population 18,52.0,
Population 19,70.0,1.0
Population 20,60.0,
Population 21,40.0,
Population 22,118.0,
Population 23,25.0,
Population 24,101.0,
Population 25,45.0,
Population 26,40.0,
Population 27,57.0,
Population 28,84.0,
Population 29,25.0,
Population 30,57.0,1.0
Population 31,43.0,
Population 32,37.0,
Population 33,40.0,
Population 34,60.0,
Population 35,83.0,
Population 36,210.0,1.0
Population 37,72.0,
Population 38,32.0,
Population 39,111.0,
Population 40,91.0,
Population 41,141.0,
Population 42,79.0,
Population 43,107.0,
Population 44,49.0,
Population 45,149.0,
Population 46,40.0,
Population 47,28.0,
Population 48,20.0,
Population 49,42.0,
Population 50,84.0,2.0
Population 51,282.0,2.0
Population 52,73.0,
Population 53,96.0,
Population 54,85.0,
Population 55,51.0,
Population 56,73.0,
Population 57,64.0,
Population 58,72.0,
Population 59,53.0,
Population 60,135.0,
Population 61,31.0,
Population 62,64.0,
Population 63,54.0,
Population 64,596.0,
Population 65,27.0,
Population 66,67.0,
Population 67,40.0,
Population 68,36.0,
Population 69,83.0,
Population 70,53.0,
Population 71,55.0,
Population 72,17.0,
Population 73,42.0,
Population 74,40.0,
Population 75,57.0,
Population 76,447.0,
Population 77,48.0,
Population 78,124.0,
Population 79,71.0,
Population 80,29.0,
Population 81,169.0,
Population 82,52.0,
Population 83,535.0,19.0
Population 84,97.0,38.0
Population 85,381.0,4.0
Population 86,121.0,
Population 87,41.0,
Population 88,88.0,
Population 89,21.0,
Population 90,19.0,
Population 91,68.0,
Population 92,25.0,
Population 93,41.0,
Population 94,23.0,
Population 95,41.0,
Population 96,46.0,
Population 97,33.0,
Population 98,48.0,
Population 99,83.0,
Population 100,34.0,
Population 101,93.0,
Population 102,273.0,
Population 103,479.0,
Population 104,159.0,1.0
Population 105,111.0,
Population 106,49.0,
Population 107,48.0,
Population 108,34.0,
Population 109,148.0,
Population 110,25.0,
Population 111,121.0,
Population 112,64.0,
Population 113,90.0,
Population 114,364.0,1.0
Population 115,46.0,
Population 116,153.0,
Population 117,129.0,
Population 118,447.0,
Population 119,184.0,
Population 120,35.0,
Population 121,50.0,
Population 122,538.0,
Population 123,33.0,
Population 124,1483.0,2.0
Population 125,85.0,
Population 126,27.0,1.0
Population 127,97.0,
Population 128,491.0,3.0
Population 129,118.0,
Population 130,149.0,
Population 131,42.0,
Population 132,74.0,
Population 133,34.0,
Population 134,69.0,
Population 135,125.0,
Population 136,39.0,
Population 137,110.0,
Population 138,681.0,2.0
Population 139,131.0,
Population 140,71.0,
Population 141,191.0,
Population 142,384.0,
Population 143,75.0,
Population 144,56.0,
Population 145,91.0,
Population 146,59.0,3.0
Population 147,141.0,
Population 148,131.0,
Population 149,162.0,
Population 150,75.0,
Population 151,380.0,
Population 152,97.0,
Population 153,631.0,
Population 154,47.0,
Population 155,64.0,
Population 156,55.0,
Population 157,148.0,
Population 158,28.0,
Population 159,66.0,1.0
Population 160,38.0,
Population 161,105.0,
Population 162,238.0,
Population 163,158.0,
Population 164,16.0,
Population 165,36.0,
Population 166,30.0,
Population 167,46.0,
Population 168,37.0,
Population 169,172.0,
Population 170,50.0,
Population 171,47.0,
Population 172,116.0,
Population 173,66.0,
Population 174,83.0,
Population 175,39.0,
Population 176,54.0,
Population 177,73.0,
Population 178,4205.0,23.0
Population 179,32.0,
Population 180,60.0,
Population 181,10918.0,129.0
Population 182,50.0,
Population 183,34.0,
Population 184,55.0,
Population 185,52.0,
Population 186,27.0,
Population 187,30.0,
Population 188,27.0,
Population 189,20.0,
Population 190,4781.0,1.0
Population 191,188.0,
Population 192,40.0,
Population 193,14.0,
Population 194,24.0,
Population 195,104.0,
Population 196,44.0,
Population 197,41.0,
Population 198,178.0,
Population 199,35.0,
Population 200,4797.0,7.0
Population 201,106.0,
Population 202,70.0,
Population 203,274.0,
Population 204,7053.0,65.0
Population 205,67.0,
Population 206,178.0,
Population 207,42.0,
Population 208,114.0,
Population 209,88.0,
Population 210,12670.0,65.0
Population 211,38.0,
Population 212,448.0,
Population 213,160.0,
Population 214,36.0,
Population 215,42.0,
Population 216,22.0,
Population 217,1245.0,
Population 218,3228.0,4.0
Population 219,366.0,
Population 220,24.0,
Population 221,61.0,
Population 222,107.0,
Population 223,35.0,1.0
Population 224,25.0,
Population 225,67.0,
Population 226,126.0,
Population 227,88.0,
Population 228,114.0,2.0
Population 229,49.0,
Population 230,18.0,
Population 231,63.0,
Population 232,13.0,
Population 233,42.0,
Population 234,590.0,
Population 235,115.0,
Population 236,52.0,
Population 237,21.0,
Population 238,57.0,
Population 239,44.0,
Population 240,45.0,
Population 241,34.0,
Population 242,61.0,
Population 243,137.0,
Population 244,29.0,
Population 245,87.0,2.0
Population 246,37.0,
Population 247,32.0,
Population 248,24.0,
Population 249,38.0,
Population 250,52.0,
Population 251,32.0,
Population 252,64.0,
Population 253,36.0,
Population 254,417.0,1.0
Population 255,44.0,
Population 256,90.0,
Population 257,38.0,
Population 258,18.0,3.0
Population 259,90.0,
Population 260,94.0,
Population 261,205.0,2.0
Population 262,162.0,
Population 263,72.0,
Population 264,144.0,1.0
Population 265,129.0,
Population 266,35.0,
Population 267,122.0,
Population 268,66.0,
Population 269,189.0,
Population 270,84.0,
Population 271,77.0,
Population 272,32.0,
Population 273,107.0,
Population 274,29.0,
Population 275,81.0,
Population 276,29.0,
Population 277,90.0,
Population 278,45.0,
Population 279,40.0,
Population 280,120.0,
Population 281,14.0,
Population 282,279.0,
Population 283,56.0,
Population 284,22.0,
Population 285,95.0,
Population 286,61.0,
Population 287,55.0,
Population 288,107.0,
Population 289,201.0,
Population 290,51.0,
Population 291,50.0,
Population 292,960.0,2.0
Population 293,58.0,
Population 294,153.0,
Population 295,50.0,
Population 296,36.0,
Population 297,78.0,
Population 298,56.0,
Population 299,123.0,1.0
Population 300,153.0,
Population 301,68.0,
Population 302,103.0,
Population 303,43.0,
Population 304,312.0,
Population 305,158.0,
